place_id,place_name,hpi_type,hpi_flavor,yr,avg_index_nsa,quarters_available,NAME,median_income,total_pop,median_age,bachelors_count,masters_count,total_occupied_units,owner_occupied_units,median_home_value,cbsa_code,year,homeownership_rate
10180,"Abilene, TX",traditional,all-transactions,2014,186.89249999999998,4,"Abilene, TX Metro Area",44249,167171,34.1,15483,5036,60343,38204,91900,10180,2014,0.6331140314535241
10180,"Abilene, TX",traditional,all-transactions,2019,225.8425,4,"Abilene, TX Metro Area",52511,170669,34.1,16565,6061,60931,37756,116100,10180,2019,0.6196517372109436
10180,"Abilene, TX",traditional,all-transactions,2024,335.64750000000004,4,"Abilene, TX Metro Area",67328,180408,34.5,19850,8220,66088,42252,178700,10180,2024,0.6393293790098051
10420,"Akron, OH",traditional,all-transactions,2014,131.8425,4,"Akron, OH Metro Area",50776,703017,40.0,88763,34933,281752,190131,137600,10420,2014,0.6748168602174962
10420,"Akron, OH",traditional,all-transactions,2019,160.7775,4,"Akron, OH Metro Area",57285,703845,40.3,96686,42654,286543,190863,150000,10420,2019,0.6660885102759446
10420,"Akron, OH",traditional,all-transactions,2024,249.9,4,"Akron, OH Metro Area",72371,699820,41.0,107457,48140,296516,201905,213000,10420,2024,0.6809244695058614
10500,"Albany, GA",traditional,all-transactions,2014,143.625,4,"Albany, GA Metro Area",36805,156706,35.7,9655,4480,58250,32825,103900,10500,2014,0.563519313304721
10500,"Albany, GA",traditional,all-transactions,2019,158.99,4,"Albany, GA Metro Area",44844,148436,36.9,11153,5521,55714,30225,117700,10500,2019,0.542502782065549
10500,"Albany, GA",traditional,all-transactions,2024,240.2625,4,"Albany, GA Metro Area",56906,146018,38.1,11855,7163,57689,32438,157300,10500,2024,0.5622909046785349
10540,"Albany, OR",traditional,all-transactions,2014,167.78,4,"Albany, OR Metro Area",44965,118270,39.4,9722,3231,44942,29529,171700,10540,2014,0.6570468603978461
10540,"Albany, OR",traditional,all-transactions,2019,264.6275,4,"Albany-Lebanon, OR Metro Area",55893,125048,39.6,11549,3675,47762,30748,221600,10540,2019,0.6437753862903564
10540,"Albany, OR",traditional,all-transactions,2024,407.9625,4,"Albany, OR Metro Area",76329,130706,40.1,13606,4753,50729,33918,376400,10540,2024,0.6686116422559089
10580,"Albany-Schenectady-Troy, NY",traditional,all-transactions,2014,184.0925,4,"Albany-Schenectady-Troy, NY Metro Area",61841,875567,39.9,112463,68299,347401,226423,196800,10580,2014,0.651762660441392
10580,"Albany-Schenectady-Troy, NY",traditional,all-transactions,2019,207.195,4,"Albany-Schenectady-Troy, NY Metro Area",71285,880736,40.0,125071,75480,352713,225446,213600,10580,2019,0.6391768945289796
10580,"Albany-Schenectady-Troy, NY",traditional,all-transactions,2024,315.0525,4,"Albany-Schenectady-Troy, NY Metro Area",88074,906052,40.5,143568,90666,383063,245753,285900,10580,2024,0.6415472128605477
10740,"Albuquerque, NM",traditional,all-transactions,2014,154.3075,4,"Albuquerque, NM Metro Area",48875,899137,36.9,101561,54464,344168,229093,177100,10740,2014,0.6656429418191115
10740,"Albuquerque, NM",traditional,all-transactions,2019,182.3125,4,"Albuquerque, NM Metro Area",54072,912108,38.2,112215,61389,351354,235397,192800,10740,2019,0.6699710263722627
10740,"Albuquerque, NM",traditional,all-transactions,2024,292.5825,4,"Albuquerque, NM Metro Area",70783,921482,39.8,128243,72281,376025,259675,287800,10740,2024,0.6905790838375108
10780,"Alexandria, LA",traditional,all-transactions,2014,194.6575,4,"Alexandria, LA Metro Area",41032,154562,37.3,11535,3846,54908,36475,115900,10780,2014,0.6642929991986596
10780,"Alexandria, LA",traditional,all-transactions,2019,211.86,4,"Alexandria, LA Metro Area",46367,153310,37.6,12254,4885,55477,34725,136200,10780,2019,0.6259350721920796
