NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Aberdeen, SD Micro Area",783,540,124,404,1282,5579,370,2073,19988,282925,19736,4698,40686,22442,33304,10100,,msa,10100,,2024
"Aberdeen, WA Micro Area",1062,550,469,917,1726,8204,715,6339,36967,634870,26092,11352,74128,32103,63791,10140,,msa,10140,,2024
"Abilene, TX Metro Area",1141,2309,1706,1991,5041,23836,2202,9711,75799,1427165,77151,23914,168435,87644,142838,10180,,msa,10180,,2024
"Ada, OK Micro Area",889,394,194,338,843,5144,438,2397,17531,296100,16744,4659,37052,18290,29846,10220,,msa,10220,,2024
"Adrian, MI Micro Area",987,672,414,567,1640,7947,905,4890,43761,1094105,39601,10032,93641,47011,80855,10300,,msa,10300,,2024
"Aguadilla, PR Metro Area",528,1454,884,1091,3252,31473,17316,33028,127158,1730885,72233,114062,249693,90408,218405,10380,,msa,10380,,2024
"Akron, OH Metro Area",1033,7965,5013,7325,23275,94611,6789,22733,319249,6914520,293676,85884,683891,371063,576026,10420,,msa,10420,,2024
"Alamogordo, NM Micro Area",962,667,615,618,1470,8080,880,8165,32645,586390,26519,12608,65450,31121,55586,10460,,msa,10460,,2024
"Alamosa, CO Micro Area",882,284,95,279,696,4018,522,2317,13780,208610,11161,4333,26779,13229,22051,10480,,msa,10480,,2024
"Albany, GA Metro Area",950,1564,1431,1582,6642,25251,2273,9554,67243,1212525,54645,29482,140791,65894,115114,10500,,msa,10500,,2024
"Albany, OR Metro Area",1320,1336,985,1745,4310,16811,1114,2586,53315,1319745,51401,16781,129251,62925,104818,10540,,msa,10540,,2024
"Albany-Schenectady-Troy, NY Metro Area",1280,11827,6432,10177,32922,137310,6692,39057,422120,8872660,377846,97960,873592,479751,753898,10580,,msa,10580,,2024
"Albemarle, NC Micro Area",861,513,224,690,1179,6448,1117,3392,28632,724445,25819,9554,62662,30542,52275,10620,,msa,10620,,2024
"Albert Lea, MN Micro Area",849,148,223,167,519,2633,279,1270,14116,258315,13143,3194,30061,15183,24737,10660,,msa,10660,,2024
"Albertville, AL Micro Area",795,1094,498,484,1427,8834,1303,5303,41762,991320,38928,16344,98234,43845,76420,10700,,msa,10700,,2024
"Albuquerque, NM Metro Area",1156,9432,7778,9154,29880,116350,7909,25695,401720,9022405,363427,132712,909458,459337,754717,10740,,msa,10740,,2024
"Alexander City, AL Micro Area",765,164,131,260,608,4087,894,6085,23161,404090,16046,6551,40144,18185,33801,10760,,msa,10760,,2024
"Alexandria, LA Metro Area",946,1540,1101,1671,4513,18750,2222,11290,67684,1358935,58647,28004,143441,66586,117329,10780,,msa,10780,,2024
"Alexandria, MN Micro Area",927,444,209,339,666,4125,268,4813,22332,352080,17143,3496,38945,20186,32036,10820,,msa,10820,,2024
"Alice, TX Micro Area",902,304,250,541,1515,5594,756,3857,20113,381545,16354,10770,45085,19591,35074,10860,,msa,10860,,2024
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1365,8998,6785,9488,24840,102884,6084,22218,361874,10112225,368081,86532,848524,460421,717212,10900,,msa,10900,,2024
"Alma, MI Micro Area",834,449,123,153,585,3124,333,1306,16081,375160,15687,4938,35351,18119,34350,10940,,msa,10940,,2024
"Alpena, MI Micro Area",673,346,148,224,394,2604,434,2688,15707,192470,11013,5086,28320,13073,24237,10980,,msa,10980,,2024
"Altoona, PA Metro Area",885,1264,1069,1000,2425,13979,1565,5343,55901,1045540,51021,14128,117368,58487,99980,11020,,msa,11020,,2024
"Altus, OK Micro Area",842,463,210,245,427,3987,301,2297,12072,144005,11021,3840,23769,12482,19126,11060,,msa,11060,,2024
"Amarillo, TX Metro Area",1086,3518,2018,3568,6948,37228,2836,12477,115539,2448790,119332,37588,261863,134177,211693,11100,,msa,11100,,2024
"Americus, GA Micro Area",854,575,293,308,925,5093,867,2775,15400,277330,13163,7131,31900,15260,26721,11140,,msa,11140,,2024
"Ames, IA Metro Area",1000,1602,878,1531,4843,19492,802,4088,53928,1121515,59647,17602,113859,71988,107947,11180,,msa,11180,,2024
"Amherst Town-Northampton, MA Metro Area",1388,2231,1196,1804,5228,19998,1503,4672,66786,1512885,65350,15746,139163,87547,142468,11200,,msa,11200,,2024
"Amsterdam, NY Micro Area",940,327,322,423,1305,5805,511,3378,22981,492995,20528,7104,48739,24141,39299,11220,,msa,11220,,2024
"Anchorage, AK Metro Area",1458,4818,3412,3823,9591,48281,2689,23052,171518,3998620,175915,36348,392783,211876,315460,11260,,msa,11260,,2024
"Anderson Creek, NC Micro Area",1112,1141,979,1252,2465,14441,1489,5057,54902,1798235,54830,18684,135930,64257,107471,11360,,msa,11360,,2024
"Andrews, TX Micro Area",1305,44,29,127,277,1470,203,309,7153,193570,8080,2872,18419,8947,13509,11380,,msa,11380,,2024
"Angola, IN Micro Area",933,321,209,124,536,2886,270,5123,19181,312365,14852,3087,33068,17585,28759,11420,,msa,11420,,2024
"Ann Arbor, MI Metro Area",1463,4467,3395,5404,17268,57782,3322,9232,159782,3317605,141402,49782,351276,196097,311059,11460,,msa,11460,,2024
"Anniston-Oxford, AL Metro Area",826,932,563,829,2911,13361,1689,8346,53361,1160235,46027,19954,111531,52895,94243,11500,,msa,11500,,2024
"Appleton, WI Metro Area",1060,2313,1300,1949,3940,26614,1055,3654,103408,2373210,114254,15018,242339,135686,196570,11540,,msa,11540,,2024
"Arcadia, FL Micro Area",932,192,54,367,784,3524,486,3048,15872,381325,12483,8082,33590,14817,29904,11580,,msa,11580,,2024
"Ardmore, OK Micro Area",980,310,339,591,1223,6315,829,2578,21624,424755,20469,7733,47604,22594,37747,11620,,msa,11620,,2024
"Arecibo, PR Metro Area",550,584,450,862,2526,20902,10860,18624,86582,1477010,55492,72078,179070,67701,156264,11640,,msa,11640,,2024
"Arkadelphia, AR Micro Area",793,134,114,196,774,2843,316,1908,10029,190425,8880,3999,18555,9912,17329,11660,,msa,11660,,2024
"Arkansas City-Winfield, KS Micro Area",809,400,293,482,767,4270,456,2295,15682,299765,14207,4579,32118,15815,27356,11680,,msa,11680,,2024
"Asheville, NC Metro Area",1296,4958,3338,4426,10138,49081,4996,42619,203883,3608760,162962,47729,405491,203875,349207,11700,,msa,11700,,2024
"Ashland, OH Micro Area",888,240,203,312,997,4589,468,1848,22568,538855,22530,6758,50873,25482,42083,11740,,msa,11740,,2024
"Astoria, OR Micro Area",1180,624,392,517,1570,6610,495,5411,23395,338555,15697,5036,40876,19617,34908,11820,,msa,11820,,2024
"Atchison, KS Micro Area",765,201,117,70,226,1611,236,1082,6817,146040,6904,1891,14574,8170,13043,11860,,msa,11860,,2024
"Athens, OH Micro Area",939,917,322,703,2751,9115,980,3457,26471,576365,23956,11643,54170,30814,53718,11900,,msa,11900,,2024
"Athens, TN Micro Area",822,420,317,616,955,6137,834,3959,30412,699255,26570,8817,66702,30652,55598,11940,,msa,11940,,2024
"Athens, TX Micro Area",1048,618,720,376,1746,7449,1036,8277,41852,920350,31578,12286,83393,37219,68888,11980,,msa,11980,,2024
"Athens-Clarke County, GA Metro Area",1201,2902,2343,3265,11421,38167,3217,6541,92642,2171415,92238,40908,208973,113012,181520,12020,,msa,12020,,2024
"Atlanta-Sandy Springs-Roswell, GA Metro Area",1672,70625,52141,74470,207093,783586,40648,184267,2497322,76506050,2464155,675593,6164510,3352710,4966074,12060,,msa,12060,,2024
"Atlantic City-Hammonton, NJ Metro Area",1373,3839,2504,3388,12928,43107,3005,77357,231798,3758705,153787,43803,364050,190164,306832,12100,,msa,12100,,2024
"Auburn, IN Micro Area",861,294,107,197,542,3067,182,1288,18384,438280,20565,4119,43273,22909,34517,12140,,msa,12140,,2024
"Auburn, NY Micro Area",942,850,436,924,1874,9006,836,5305,36829,716465,31472,9690,71732,36220,62309,12180,,msa,12180,,2024
"Auburn-Opelika, AL Metro Area",1026,1544,1244,1780,8270,26155,3551,12599,89272,1857470,82897,36775,189582,97547,164294,12220,,msa,12220,,2024
"Augusta-Richmond County, GA-SC Metro Area",1120,6507,3853,6032,18500,74119,6905,39816,271673,6041445,252398,90596,607818,303512,498847,12260,,msa,12260,,2024
"Augusta-Waterville, ME Micro Area",992,1330,1069,1084,2803,14306,1421,9209,63521,1295020,50964,14256,122546,63470,105540,12300,,msa,12300,,2024
"Austin, MN Micro Area",927,212,169,188,886,3524,197,1295,17014,365130,17667,4119,39626,20034,31479,12380,,msa,12380,,2024
"Austin-Round Rock-San Marcos, TX Metro Area",1726,37067,28771,38158,91268,412964,15565,53409,1042843,26280460,963018,233722,2382206,1396794,1957345,12420,,msa,12420,,2024
"Bainbridge, GA Micro Area",838,200,233,67,762,4023,821,2594,13215,218125,10210,6190,28084,11639,22692,12460,,msa,12460,,2024
"Baker City, OR Micro Area",865,78,59,81,511,2097,369,1370,8725,83935,5567,2423,16313,6773,13941,12520,,msa,12520,,2024
"Bakersfield-Delano, CA Metro Area",1300,8687,8305,11260,31654,113798,7654,22068,306999,8054075,329952,170301,891050,402783,684840,12540,,msa,12540,,2024
"Baltimore-Columbia-Towson, MD Metro Area",1611,31790,24082,34804,91589,370685,19446,81406,1201675,34523895,1175726,271943,2786755,1531679,2294721,12580,,msa,12580,,2024
"Bangor, ME Metro Area",1041,1800,1470,1753,3975,19211,1361,10462,75683,1482740,65298,20788,147433,78328,131324,12620,,msa,12620,,2024
"Baraboo, WI Micro Area",1018,585,575,336,1397,7735,473,3509,31496,704080,30629,5258,65246,35405,53037,12660,,msa,12660,,2024
"Barnstable Town, MA Metro Area",1678,1973,1371,1717,5690,20024,2027,60438,166215,2287865,92255,17567,229002,118691,203683,12700,,msa,12700,,2024
"Barre, VT Micro Area",1163,663,315,360,1320,6808,302,5149,31004,591675,25329,5085,58744,32977,50530,12740,,msa,12740,,2024
"Bartlesville, OK Micro Area",907,613,364,605,1115,5896,609,2784,23741,435655,21081,8347,51974,24058,41957,12780,,msa,12780,,2024
"Batavia, NY Micro Area",929,585,372,457,1322,6522,434,1303,26176,601525,25607,6023,56599,29441,47285,12860,,msa,12860,,2024
"Batesville, AR Micro Area",845,341,234,342,759,4510,590,2148,16786,302720,15513,7610,37316,17320,29861,12900,,msa,12900,,2024
"Baton Rouge, LA Metro Area",1135,7904,6620,8316,26323,102725,12974,51431,384016,9875550,363080,140721,846082,430073,694078,12940,,msa,12940,,2024
"Battle Creek, MI Metro Area",968,1596,666,1225,3159,14586,889,6269,59602,1096200,53532,18177,130425,63774,107064,12980,,msa,12980,,2024
"Bay City, MI Metro Area",860,765,478,747,2069,10358,905,3556,48659,1005385,43500,13520,102041,50691,85414,13020,,msa,13020,,2024
"Bay City, TX Micro Area",999,262,374,137,1462,4924,426,3619,19058,346470,14424,7453,35957,17122,28146,13060,,msa,13060,,2024
"Beatrice, NE Micro Area",774,122,195,88,425,2469,225,1072,10399,211860,9981,2688,21325,11017,17397,13100,,msa,13100,,2024
"Beaumont-Port Arthur, TX Metro Area",1106,3485,2948,4051,11382,47533,4944,23455,172921,3689685,157896,63944,379910,177956,309030,13140,,msa,13140,,2024
"Beaver Dam, WI Micro Area",988,738,475,910,1228,10298,678,2614,38524,983730,40860,7139,83953,47103,73834,13180,,msa,13180,,2024
"Beckley, WV Metro Area",856,768,610,427,2723,10716,2275,8736,53688,989010,38134,23247,107885,44188,91964,13220,,msa,13220,,2024
"Bedford, IN Micro Area",845,369,263,226,695,3697,417,1410,20545,535715,19721,5429,44364,22351,36689,13260,,msa,13260,,2024
"Beeville, TX Micro Area",1065,139,141,82,871,2570,347,1843,10650,221280,10288,4236,24074,11751,25604,13300,,msa,13300,,2024
"Bellefontaine, OH Micro Area",845,263,178,274,643,4384,592,4306,23866,409765,18833,5039,45486,22301,37023,13340,,msa,13340,,2024
"Bellingham, WA Metro Area",1555,3428,2770,3562,9800,34117,1580,9499,103520,2095035,96772,29038,225395,121698,192897,13380,,msa,13380,,2024
"Bemidji, MN Micro Area",1053,516,280,320,1080,5430,410,3557,21729,410845,19585,7178,44479,22774,36440,13420,,msa,13420,,2024
"Bend, OR Metro Area",1697,2814,1892,2477,7094,30758,2330,17170,121699,2046645,98159,24163,254592,133008,213925,13460,,msa,13460,,2024
"Bennington, VT Micro Area",1109,380,234,324,1442,3945,204,5916,20903,291590,14395,4123,36401,18686,31264,13540,,msa,13540,,2024
"Big Rapids, MI Micro Area",934,346,247,205,939,3857,523,4431,21139,376425,15884,7752,39034,18672,34304,13660,,msa,13660,,2024
"Big Spring, TX Micro Area",1034,529,274,203,644,3717,468,1857,14048,280685,12908,4006,28984,14273,25808,13700,,msa,13700,,2024
"Billings, MT Metro Area",1117,1873,1445,2115,4477,22915,1281,6980,85351,1700480,85941,16814,185453,99276,151540,13740,,msa,13740,,2024
"Binghamton, NY Metro Area",939,2309,1657,2636,8987,33341,2498,12916,115268,1935110,95556,40746,233456,116628,204120,13780,,msa,13780,,2024
"Birmingham, AL Metro Area",1172,11642,7954,10748,31984,135781,13747,61284,526287,13005760,481528,159064,1156686,579187,946310,13820,,msa,13820,,2024
"Bishop, CA Micro Area",1189,201,115,104,430,2701,304,1484,9524,117595,7364,1997,18356,8746,15269,13860,,msa,13860,,2024
"Bismarck, ND Metro Area",1021,1118,782,1019,3042,15543,682,4197,60137,1165955,64022,10375,131264,72693,108253,13900,,msa,13900,,2024
"Blackfoot, ID Micro Area",874,179,120,373,416,3145,418,1396,17528,451175,20307,5753,49137,23527,37239,13940,,msa,13940,,2024
"Blacksburg-Christiansburg-Radford, VA Metro Area",1104,1596,860,1627,7111,26043,3361,12342,82624,1592635,75032,32776,166320,89013,156047,13980,,msa,13980,,2024
"Bloomington, IL Metro Area",1009,1300,1466,1722,5431,24516,2451,5085,75305,1295840,70718,20899,161892,90392,139411,14010,,msa,14010,,2024
"Bloomington, IN Metro Area",1176,2033,1816,2626,9223,28875,2500,7721,75575,1462920,67359,27513,147688,86034,139151,14020,,msa,14020,,2024
"Bloomsburg-Berwick, PA Micro Area",943,688,411,373,1412,8037,1170,3474,29824,574105,26401,8432,61350,32710,55345,14100,,msa,14100,,2024
"Bluefield, WV-VA Micro Area",804,993,793,599,1832,10739,1935,8599,49113,870825,34656,16432,95010,38866,80318,14140,,msa,14140,,2024
"Blytheville, AR Micro Area",830,387,307,399,1615,6188,929,3681,19133,313290,15836,8071,38196,17890,30159,14180,,msa,14180,,2024
"Bogalusa, LA Micro Area",774,435,560,610,850,5439,1486,3723,21439,485715,14900,10509,43216,17793,35705,14220,,msa,14220,,2024
