series_id,cbsa_code,year,period,value
LAUMT481018000000003,10180,2024,M13,3.4
LAUMT481018000000003,10180,2023,M13,3.4
LAUMT481018000000003,10180,2022,M13,3.4
LAUMT481018000000003,10180,2021,M13,4.5
LAUMT481018000000003,10180,2020,M13,5.6
LAUMT481018000000003,10180,2019,M13,3.0
LAUMT481018000000003,10180,2018,M13,3.3
LAUMT481018000000003,10180,2017,M13,3.7
LAUMT481018000000003,10180,2016,M13,3.9
LAUMT481018000000003,10180,2015,M13,3.9
LAUMT481018000000003,10180,2024,M12,2.9
LAUMT391042000000003,10420,2024,M13,4.5
LAUMT391042000000003,10420,2023,M13,3.7
LAUMT391042000000003,10420,2022,M13,3.9
LAUMT391042000000003,10420,2021,M13,5.3
LAUMT391042000000003,10420,2020,M13,8.0
LAUMT391042000000003,10420,2019,M13,4.2
LAUMT391042000000003,10420,2018,M13,4.6
LAUMT391042000000003,10420,2017,M13,5.0
LAUMT391042000000003,10420,2016,M13,5.1
LAUMT391042000000003,10420,2015,M13,5.0
LAUMT391042000000003,10420,2024,M12,4.9
LAUMT131050000000003,10500,2024,M13,4.0
LAUMT131050000000003,10500,2023,M13,3.8
LAUMT131050000000003,10500,2022,M13,3.9
LAUMT131050000000003,10500,2021,M13,5.3
LAUMT131050000000003,10500,2020,M13,7.4
LAUMT131050000000003,10500,2019,M13,4.4
LAUMT131050000000003,10500,2018,M13,4.9
LAUMT131050000000003,10500,2017,M13,5.6
LAUMT131050000000003,10500,2016,M13,6.4
LAUMT131050000000003,10500,2015,M13,7.1
LAUMT131050000000003,10500,2024,M12,3.6
LAUMT411054000000003,10540,2024,M13,4.8
LAUMT411054000000003,10540,2023,M13,4.1
LAUMT411054000000003,10540,2022,M13,4.4
LAUMT411054000000003,10540,2021,M13,5.6
LAUMT411054000000003,10540,2020,M13,7.7
LAUMT411054000000003,10540,2019,M13,4.3
LAUMT411054000000003,10540,2018,M13,4.6
LAUMT411054000000003,10540,2017,M13,4.7
LAUMT411054000000003,10540,2016,M13,5.6
LAUMT411054000000003,10540,2015,M13,6.6
LAUMT411054000000003,10540,2024,M12,5.0
LAUMT361058000000003,10580,2024,M13,3.3
LAUMT361058000000003,10580,2023,M13,3.1
LAUMT361058000000003,10580,2022,M13,3.1
LAUMT361058000000003,10580,2021,M13,4.4
LAUMT361058000000003,10580,2020,M13,6.9
LAUMT361058000000003,10580,2019,M13,3.5
LAUMT361058000000003,10580,2018,M13,3.7
LAUMT361058000000003,10580,2017,M13,4.3
LAUMT361058000000003,10580,2016,M13,4.2
LAUMT361058000000003,10580,2015,M13,4.5
LAUMT361058000000003,10580,2024,M12,3.1
LAUMT351074000000003,10740,2024,M13,3.8
LAUMT351074000000003,10740,2023,M13,3.4
LAUMT351074000000003,10740,2022,M13,3.7
LAUMT351074000000003,10740,2021,M13,6.5
LAUMT351074000000003,10740,2020,M13,7.6
LAUMT351074000000003,10740,2019,M13,4.6
LAUMT351074000000003,10740,2018,M13,4.6
LAUMT351074000000003,10740,2017,M13,5.6
LAUMT351074000000003,10740,2016,M13,6.0
LAUMT351074000000003,10740,2015,M13,6.2
LAUMT351074000000003,10740,2024,M12,3.5
LAUMT221078000000003,10780,2024,M13,4.0
LAUMT221078000000003,10780,2023,M13,3.4
LAUMT221078000000003,10780,2022,M13,3.2
LAUMT221078000000003,10780,2021,M13,4.1
LAUMT221078000000003,10780,2020,M13,6.5
LAUMT221078000000003,10780,2019,M13,4.8
LAUMT221078000000003,10780,2018,M13,5.1
LAUMT221078000000003,10780,2017,M13,5.5
LAUMT221078000000003,10780,2016,M13,6.0
LAUMT221078000000003,10780,2015,M13,6.5
LAUMT221078000000003,10780,2024,M12,3.8
LAUMT421090000000003,10900,2024,M13,4.1
LAUMT421090000000003,10900,2023,M13,4.0
LAUMT421090000000003,10900,2022,M13,4.2
LAUMT421090000000003,10900,2021,M13,6.1
LAUMT421090000000003,10900,2020,M13,9.1
LAUMT421090000000003,10900,2019,M13,4.4
LAUMT421090000000003,10900,2018,M13,4.7
LAUMT421090000000003,10900,2017,M13,5.1
LAUMT421090000000003,10900,2016,M13,5.3
LAUMT421090000000003,10900,2015,M13,5.5
LAUMT421090000000003,10900,2024,M12,3.7
LAUMT421102000000003,11020,2024,M13,3.7
LAUMT421102000000003,11020,2023,M13,3.7
LAUMT421102000000003,11020,2022,M13,4.4
LAUMT421102000000003,11020,2021,M13,5.8
LAUMT421102000000003,11020,2020,M13,8.7
LAUMT421102000000003,11020,2019,M13,4.6
LAUMT421102000000003,11020,2018,M13,4.5
LAUMT421102000000003,11020,2017,M13,5.1
LAUMT421102000000003,11020,2016,M13,5.4
LAUMT421102000000003,11020,2015,M13,5.3
LAUMT421102000000003,11020,2024,M12,3.7
LAUMT481110000000003,11100,2024,M13,3.1
LAUMT481110000000003,11100,2023,M13,3.1
LAUMT481110000000003,11100,2022,M13,3.1
LAUMT481110000000003,11100,2021,M13,4.0
LAUMT481110000000003,11100,2020,M13,5.0
LAUMT481110000000003,11100,2019,M13,2.6
LAUMT481110000000003,11100,2018,M13,2.9
LAUMT481110000000003,11100,2017,M13,3.1
LAUMT481110000000003,11100,2016,M13,3.2
LAUMT481110000000003,11100,2015,M13,3.1
LAUMT481110000000003,11100,2024,M12,2.7
LAUMT191118000000003,11180,2024,M13,2.5
LAUMT191118000000003,11180,2023,M13,2.4
LAUMT191118000000003,11180,2022,M13,2.4
LAUMT191118000000003,11180,2021,M13,3.1
LAUMT191118000000003,11180,2020,M13,3.9
LAUMT191118000000003,11180,2019,M13,2.1
LAUMT191118000000003,11180,2018,M13,1.9
LAUMT191118000000003,11180,2017,M13,2.2
LAUMT191118000000003,11180,2016,M13,2.6
LAUMT191118000000003,11180,2015,M13,2.6
LAUMT191118000000003,11180,2024,M12,2.5
LAUMT251120000000003,11200,2024,M13,3.8
LAUMT251120000000003,11200,2023,M13,3.3
LAUMT251120000000003,11200,2022,M13,3.5
LAUMT251120000000003,11200,2021,M13,4.8
LAUMT251120000000003,11200,2020,M13,7.7
LAUMT251120000000003,11200,2019,M13,2.9
LAUMT251120000000003,11200,2018,M13,3.2
LAUMT251120000000003,11200,2017,M13,3.7
LAUMT251120000000003,11200,2016,M13,3.9
LAUMT251120000000003,11200,2015,M13,4.5
LAUMT251120000000003,11200,2024,M12,3.7
LAUMT021126000000003,11260,2024,M13,4.1
LAUMT021126000000003,11260,2023,M13,3.9
LAUMT021126000000003,11260,2022,M13,4.0
LAUMT021126000000003,11260,2021,M13,6.1
LAUMT021126000000003,11260,2020,M13,8.1
LAUMT021126000000003,11260,2019,M13,5.1
LAUMT021126000000003,11260,2018,M13,5.6
LAUMT021126000000003,11260,2017,M13,6.1
LAUMT021126000000003,11260,2016,M13,6.0
LAUMT021126000000003,11260,2015,M13,5.5
LAUMT021126000000003,11260,2024,M12,4.0
LAUMT261146000000003,11460,2024,M13,3.8
LAUMT261146000000003,11460,2023,M13,3.2
LAUMT261146000000003,11460,2022,M13,3.5
LAUMT261146000000003,11460,2021,M13,4.1
LAUMT261146000000003,11460,2020,M13,6.6
LAUMT261146000000003,11460,2019,M13,2.9
LAUMT261146000000003,11460,2018,M13,3.0
LAUMT261146000000003,11460,2017,M13,3.4
LAUMT261146000000003,11460,2016,M13,3.5
LAUMT261146000000003,11460,2015,M13,3.7
LAUMT261146000000003,11460,2024,M12,3.9
LAUMT011150000000003,11500,2024,M13,3.1
LAUMT011150000000003,11500,2023,M13,2.6
LAUMT011150000000003,11500,2022,M13,2.7
LAUMT011150000000003,11500,2021,M13,3.7
LAUMT011150000000003,11500,2020,M13,7.2
LAUMT011150000000003,11500,2019,M13,3.5
LAUMT011150000000003,11500,2018,M13,4.3
LAUMT011150000000003,11500,2017,M13,4.8
LAUMT011150000000003,11500,2016,M13,6.1
LAUMT011150000000003,11500,2015,M13,7.0
LAUMT011150000000003,11500,2024,M12,3.0
LAUMT551154000000003,11540,2024,M13,2.5
LAUMT551154000000003,11540,2023,M13,2.3
LAUMT551154000000003,11540,2022,M13,2.4
LAUMT551154000000003,11540,2021,M13,3.0
LAUMT551154000000003,11540,2020,M13,5.4
LAUMT551154000000003,11540,2019,M13,2.8
LAUMT551154000000003,11540,2018,M13,2.7
LAUMT551154000000003,11540,2017,M13,2.9
LAUMT551154000000003,11540,2016,M13,3.3
LAUMT551154000000003,11540,2015,M13,3.8
LAUMT551154000000003,11540,2024,M12,2.5
LAUMT371170000000003,11700,2024,M13,4.1
LAUMT371170000000003,11700,2023,M13,2.9
LAUMT371170000000003,11700,2022,M13,3.1
LAUMT371170000000003,11700,2021,M13,4.3
LAUMT371170000000003,11700,2020,M13,7.9
LAUMT371170000000003,11700,2019,M13,3.2
LAUMT371170000000003,11700,2018,M13,3.2
LAUMT371170000000003,11700,2017,M13,3.7
LAUMT371170000000003,11700,2016,M13,4.1
LAUMT371170000000003,11700,2015,M13,4.5
LAUMT371170000000003,11700,2024,M12,5.6
LAUMT131202000000003,12020,2024,M13,3.2
LAUMT131202000000003,12020,2023,M13,3.0
LAUMT131202000000003,12020,2022,M13,3.0
LAUMT131202000000003,12020,2021,M13,3.3
LAUMT131202000000003,12020,2020,M13,5.4
LAUMT131202000000003,12020,2019,M13,3.3
LAUMT131202000000003,12020,2018,M13,3.6
LAUMT131202000000003,12020,2017,M13,4.3
LAUMT131202000000003,12020,2016,M13,5.0
LAUMT131202000000003,12020,2015,M13,5.7
LAUMT131202000000003,12020,2024,M12,2.6
LAUMT341210000000003,12100,2024,M13,6.4
LAUMT341210000000003,12100,2023,M13,6.0
LAUMT341210000000003,12100,2022,M13,5.5
LAUMT341210000000003,12100,2021,M13,9.4
LAUMT341210000000003,12100,2020,M13,15.6
LAUMT341210000000003,12100,2019,M13,5.3
LAUMT341210000000003,12100,2018,M13,6.1
LAUMT341210000000003,12100,2017,M13,7.3
LAUMT341210000000003,12100,2016,M13,7.7
LAUMT341210000000003,12100,2015,M13,9.9
LAUMT341210000000003,12100,2024,M12,7.2
LAUMT011222000000003,12220,2024,M13,2.9
