Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202599,101,10180,2,Abilene  TX ,834,834,224698,163,326,52332,0,0,0,0,0,0,826,826,222397,163,326,52332,0,0,0,0,0,0
202599,101,45020,5,Sweetwater  TX ,8,8,1221,0,0,0,0,0,0,0,0,0,8,8,1221,0,0,0,0,0,0,0,0,0
202599,104,10580,2,Albany-Schenectady-Troy  NY ,1277,1277,495830,8,16,3855,15,57,9899,36,697,118213,980,980,386990,4,8,1015,12,48,8352,19,565,96059
202599,104,11220,5,Amsterdam  NY ,41,41,12915,0,0,0,0,0,0,6,64,18000,29,29,9417,0,0,0,0,0,0,6,64,18000
202599,104,24020,2,Glens Falls  NY ,278,278,103463,2,4,726,7,21,3495,1,24,1500,272,272,101982,2,4,726,7,21,3495,1,24,1500
202599,104,24100,5,Gloversville  NY ,85,85,27696,0,0,0,0,0,0,0,0,0,66,66,21929,0,0,0,0,0,0,0,0,0
202599,104,26460,5,Hudson  NY ,106,106,45560,0,0,0,0,0,0,1,5,128,78,78,41749,0,0,0,0,0,0,1,5,128
202599,105,10740,2,Albuquerque  NM ,1812,1812,485135,15,30,2773,1,4,250,31,984,108637,1690,1690,449379,15,30,2773,1,4,250,31,984,108637
202599,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202599,105,31060,5,Los Alamos  NM ,15,15,3000,0,0,0,0,0,0,0,0,0,15,15,3000,0,0,0,0,0,0,0,0,0
202599,105,42140,2,Santa Fe  NM ,251,251,96112,0,0,0,0,0,0,6,244,36369,251,251,96112,0,0,0,0,0,0,6,244,36369
202599,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,1202,1202,354115,21,42,7681,5,19,1842,33,711,83379,1013,1013,314142,21,42,7681,4,15,1842,32,672,78562
202599,106,20700,5,East Stroudsburg  PA ,236,236,80463,1,2,290,1,3,564,2,16,4714,221,221,75850,1,2,290,1,3,564,2,16,4714
202599,107,11020,2,Altoona  PA ,66,66,22121,10,20,5500,0,0,0,0,0,0,54,54,19436,10,20,5500,0,0,0,0,0,0
202599,107,26500,5,Huntingdon  PA ,64,64,19818,0,0,0,0,0,0,0,0,0,42,42,13580,0,0,0,0,0,0,0,0,0
202599,108,11100,2,Amarillo  TX ,652,652,193300,7,14,2262,4,16,2461,13,312,45802,613,613,183214,7,14,2262,4,16,2461,13,312,45802
202599,108,14420,5,Borger  TX ,2,2,592,0,0,0,0,0,0,0,0,0,2,2,592,0,0,0,0,0,0,0,0,0
202599,118,11540,2,Appleton  WI ,626,626,249017,27,54,13330,0,0,0,40,584,84570,604,604,241117,22,44,11553,0,0,0,40,584,84570
202599,118,36780,2,Oshkosh-Neenah  WI ,283,283,112103,6,12,2320,0,0,0,21,387,46562,283,283,112103,6,12,2320,0,0,0,21,387,46562
202599,120,11700,2,Asheville  NC ,1795,1795,864045,9,18,2607,0,0,0,38,1425,224124,1496,1496,768957,4,8,1519,0,0,0,28,1153,177682
202599,120,14820,5,Brevard  NC ,176,176,131110,0,0,0,0,0,0,0,0,0,176,176,131110,0,0,0,0,0,0,0,0,0
202599,120,48200,5,Waynesville  NC ,352,352,148123,1,2,350,0,0,0,7,160,27010,352,352,148123,1,2,350,0,0,0,7,160,27010
202599,122,12020,2,Athens-Clarke County  GA ,756,756,257248,0,0,0,0,0,0,18,522,73261,633,633,203645,0,0,0,0,0,0,18,522,73261
202599,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,22065,22065,6821477,94,188,37209,98,365,54853,585,11052,1785514,20771,20771,6484451,93,186,36809,94,353,53371,550,10398,1695994
202599,122,15660,5,Calhoun  GA ,289,289,67377,0,0,0,0,0,0,0,0,0,289,289,67377,0,0,0,0,0,0,0,0,0
202599,122,16340,5,Cedartown  GA ,121,121,35350,0,0,0,0,0,0,4,96,17500,121,121,35350,0,0,0,0,0,0,4,96,17500
202599,122,18460,5,Cornelia  GA ,378,378,114249,0,0,0,0,0,0,2,12,687,328,328,97620,0,0,0,0,0,0,0,0,0
202599,122,23580,2,Gainesville  GA ,1892,1892,628115,0,0,0,6,18,3034,12,86,11618,1871,1871,620400,0,0,0,0,0,0,4,23,1950
202599,122,27600,5,Jefferson  GA ,1816,1816,624841,0,0,0,0,0,0,2,11,1914,1658,1658,578625,0,0,0,0,0,0,2,11,1914
202599,122,29300,5,LaGrange  GA-AL ,462,462,138030,5,10,1784,0,0,0,11,346,70850,434,434,134810,5,10,1784,0,0,0,11,346,70850
202599,122,40660,2,Rome  GA ,330,330,70281,0,0,0,0,0,0,0,0,0,330,330,70281,0,0,0,0,0,0,0,0,0
202599,122,45580,5,Thomaston  GA ,127,127,36929,0,0,0,0,0,0,0,0,0,63,63,19630,0,0,0,0,0,0,0,0,0
202599,132,12940,2,Baton Rouge  LA ,2775,2775,742173,9,18,2821,1,4,399,17,1517,112078,1948,1948,507203,9,18,2821,1,4,399,17,1517,112078
202599,132,25220,2,Hammond  LA ,696,696,160764,3,6,301,0,0,0,19,461,43712,616,616,146396,0,0,0,0,0,0,0,0,0
202599,142,13820,2,Birmingham  AL ,3116,3116,1001023,10,20,10316,2,7,1026,34,1076,194315,2882,2882,955377,0,0,0,2,7,1026,16,608,108020
202599,142,18980,5,Cullman  AL ,196,196,35776,0,0,0,0,0,0,0,0,0,182,182,33501,0,0,0,0,0,0,0,0,0
