Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202399,104,10580,C,Albany-Schenectady-Troy  NY ,976,976,350376,20,40,9007,14,55,9533,56,836,101530,843,843,296483,15,30,5877,14,55,9533,37,740,92645
202399,104,24020, ,Glens Falls  NY ,226,226,73485,1,2,346,1,4,630,1,6,850,223,223,72574,1,2,346,1,4,630,1,6,850
202399,106,10740,C,Albuquerque  NM ,2057,2057,495214,0,0,0,0,0,0,12,777,65320,2057,2057,495214,0,0,0,0,0,0,12,777,65320
202399,106,42140,C,Santa Fe  NM ,264,264,84409,0,0,0,0,0,0,34,662,110000,264,264,84409,0,0,0,0,0,0,34,662,110000
202399,107,11020, ,Altoona  PA ,62,62,20864,2,4,688,8,32,3064,1,12,113,62,62,20864,2,4,688,8,32,3064,1,12,113
202399,108,11100, ,Amarillo  TX ,567,567,158648,23,46,6695,1,4,572,11,55,7581,533,533,149936,23,46,6695,1,4,572,11,55,7581
202399,118,11540, ,Appleton  WI ,461,461,177449,24,48,9375,5,16,4275,12,228,19787,455,455,175170,24,48,9375,5,16,4275,12,228,19787
202399,118,36780, ,Oshkosh-Neenah  WI ,230,230,89813,6,12,1560,1,4,269,14,186,18841,228,228,88745,6,12,1560,1,4,269,14,186,18841
202399,120,11700, ,Asheville  NC ,2636,2636,1045806,15,30,4958,0,0,0,51,1260,184553,2451,2451,1008791,15,30,4958,0,0,0,44,1214,171815
202399,122,12020, ,Athens-Clarke County  GA ,776,776,256824,17,34,5849,11,33,2892,12,183,29608,600,600,202257,17,34,5849,11,33,2892,12,183,29608
202399,122,12060, ,Atlanta-Sandy Springs-Alpharetta  GA ,24022,24022,6597874,57,114,26362,76,276,49971,460,14227,2013193,22698,22698,6305064,54,108,25350,76,276,49971,449,14085,1998609
202399,122,23580, ,Gainesville  GA ,1214,1214,266827,2,4,350,8,31,2566,10,70,6007,345,345,62044,2,4,350,8,31,2566,10,70,6007
202399,122,40660,C,Rome  GA ,327,327,67703,0,0,0,0,0,0,0,0,0,327,327,67703,0,0,0,0,0,0,0,0,0
202399,140,13460,C,Bend  OR ,1192,1192,465099,61,122,27535,4,15,4057,36,1068,176682,1192,1192,465099,61,122,27535,4,15,4057,36,1068,176682
202399,142,13820,C,Birmingham-Hoover  AL ,3042,3042,986990,11,22,10866,1,4,646,20,324,51303,2872,2872,929029,11,22,10866,1,4,646,20,324,51303
202399,144,14020,C,Bloomington  IN ,333,333,106442,2,4,1135,0,0,0,5,239,55450,333,333,106442,2,4,1135,0,0,0,5,239,55450
202399,145,14010, ,Bloomington  IL ,159,159,47755,26,52,7681,1,4,625,0,0,0,159,159,47755,26,52,7681,1,4,625,0,0,0
202399,146,14100,C,Bloomsburg-Berwick  PA ,104,104,31286,2,4,520,0,0,0,0,0,0,103,103,30987,2,4,520,0,0,0,0,0,0
202399,147,14260,C,Boise City  ID ,6508,6508,1759640,19,38,6432,58,230,21443,91,3115,556090,6444,6444,1739618,19,38,6432,58,230,21443,87,3093,552588
202399,148,12700, ,Barnstable Town  MA ,418,418,286457,6,12,2193,4,13,3000,4,104,31023,377,377,269559,5,10,2003,4,13,3000,4,104,31023
202399,148,14460,C,Boston-Cambridge-Newton  MA-NH ,3396,3396,1435744,184,368,93683,103,349,111347,226,6709,1729749,2879,2879,1268812,174,348,90780,102,346,110747,162,6191,1641023
202399,148,31700, ,Manchester-Nashua  NH ,532,532,181097,22,44,11480,5,20,3152,13,786,146592,377,377,142126,17,34,9823,5,20,3152,13,786,146592
202399,148,39300,C,Providence-Warwick  RI-MA ,1255,1255,373919,83,166,23145,22,71,10327,23,438,58450,869,869,278359,65,130,15941,20,65,9277,22,433,57950
202399,148,49340, ,Worcester  MA-CT ,919,919,315285,58,116,17644,3,11,1341,13,303,35063,798,798,283288,50,100,15617,3,11,1341,12,298,34685
202399,150,14540, ,Bowling Green  KY ,822,822,220507,3,6,1162,9,33,4228,62,594,64369,821,821,220357,3,6,1162,8,30,4003,62,594,64369
202399,154,15180, ,Brownsville-Harlingen  TX ,1604,1604,305531,69,138,16397,31,111,12664,16,99,12089,1419,1419,258310,56,112,13025,17,66,6087,16,99,12089
202399,160,15380,C,Buffalo-Cheektowaga  NY ,755,755,291374,27,54,9210,13,48,9125,36,404,66507,698,698,280484,27,54,9210,13,48,9125,24,260,34217
202399,162,15540, ,Burlington-South Burlington  VT ,430,430,148249,41,82,14762,5,15,4744,21,669,92091,371,371,132211,37,74,13355,5,15,4744,15,639,90460
202399,163,15980,C,Cape Coral-Fort Myers  FL ,8654,8654,1965357,152,304,42171,4,15,4821,153,4583,834410,8650,8650,1964334,152,304,42171,4,15,4821,152,4559,831349
202399,163,34940, ,Naples-Marco Island  FL ,2923,2923,1437504,15,30,10049,19,76,11629,30,589,705071,2911,2911,1401412,15,30,10049,19,76,11629,29,583,702190
202399,164,16020, ,Cape Girardeau  MO-IL ,79,79,23909,0,0,0,0,0,0,0,0,0,6,6,2672,0,0,0,0,0,0,0,0,0
202399,168,16300, ,Cedar Rapids  IA ,467,467,121810,21,42,7240,16,58,8300,11,201,20269,459,459,120958,20,40,7040,14,52,7920,11,201,20269
202399,168,26980, ,Iowa City  IA ,506,506,175289,29,58,12908,4,15,3297,15,687,144525,504,504,174629,27,54,12306,4,15,3297,15,687,144525
202399,170,16620, ,Charleston  WV ,185,185,27876,0,0,0,0,0,0,0,0,0,169,169,25521,0,0,0,0,0,0,0,0,0
