cbsa_code,metric,period,value
10100,permits_multifamily,2024,0
10100,permits_multifamily,2025,80
10100,permits_single_family,2024,70
10100,permits_single_family,2025,65
10100,permits_units,2024,86
10100,permits_units,2025,169
10140,permits_multifamily,2024,12
10140,permits_multifamily,2025,0
10140,permits_single_family,2024,251
10140,permits_single_family,2025,201
10140,permits_units,2024,288
10140,permits_units,2025,224
10180,permits_multifamily,2014,0
10180,permits_multifamily,2015,228
10180,permits_multifamily,2016,0
10180,permits_multifamily,2017,0
10180,permits_multifamily,2018,0
10180,permits_multifamily,2019,0
10180,permits_multifamily,2020,196
10180,permits_multifamily,2021,289
10180,permits_multifamily,2022,274
10180,permits_multifamily,2023,64
10180,permits_multifamily,2024,0
10180,permits_multifamily,2025,0
10180,permits_single_family,2014,284
10180,permits_single_family,2015,303
10180,permits_single_family,2016,298
10180,permits_single_family,2017,282
10180,permits_single_family,2018,335
10180,permits_single_family,2019,354
10180,permits_single_family,2020,397
10180,permits_single_family,2021,506
10180,permits_single_family,2022,473
10180,permits_single_family,2023,342
10180,permits_single_family,2024,431
10180,permits_single_family,2025,834
10180,permits_units,2014,284
10180,permits_units,2015,535
10180,permits_units,2016,306
10180,permits_units,2017,322
10180,permits_units,2018,357
10180,permits_units,2019,370
10180,permits_units,2020,663
10180,permits_units,2021,883
10180,permits_units,2022,799
10180,permits_units,2023,462
10180,permits_units,2024,527
10180,permits_units,2025,1160
10220,permits_multifamily,2024,0
10220,permits_multifamily,2025,0
10220,permits_single_family,2024,2
10220,permits_single_family,2025,15
10220,permits_units,2024,2
10220,permits_units,2025,27
10300,permits_multifamily,2024,8
10300,permits_multifamily,2025,11
10300,permits_single_family,2024,160
10300,permits_single_family,2025,169
10300,permits_units,2024,168
10300,permits_units,2025,184
10380,permits_multifamily,2025,168
10380,permits_single_family,2025,519
10380,permits_units,2025,716
10420,permits_multifamily,2014,63
10420,permits_multifamily,2015,159
10420,permits_multifamily,2016,0
10420,permits_multifamily,2017,11
10420,permits_multifamily,2018,179
