NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Big Stone Gap, VA Micro Area",38175,42456,40.9,2981,1279,16553,10761,86200,13720,,msa,13720,,2019
"Billings, MT Metro Area",61278,179071,39.5,27044,8106,74670,51900,227900,13740,,msa,13740,,2019
"Binghamton, NY Metro Area",54295,241874,40.8,25322,15403,98579,66598,117600,13780,,msa,13780,,2019
"Birmingham-Hoover, AL Metro Area",57447,1085330,38.5,146273,57595,417562,287678,165200,13820,,msa,13820,,2019
"Bismarck, ND Metro Area",71398,127503,37.3,21167,5475,53810,37367,249000,13900,,msa,13900,,2019
"Blackfoot, ID Micro Area",55472,45839,33.6,4103,1180,14989,11510,160100,13940,,msa,13940,,2019
"Blacksburg-Christiansburg, VA Metro Area",55065,166785,33.5,18247,10743,62701,37911,182600,13980,,msa,13980,,2019
"Bloomington, IL Metro Area",67675,172578,33.1,30723,12080,65845,42551,167000,14010,,msa,14010,,2019
"Bloomington, IN Metro Area",49798,167296,31.1,21794,13161,64400,38056,166400,14020,,msa,14020,,2019
"Bloomsburg-Berwick, PA Metro Area",51745,83974,41.5,8391,3962,33776,23231,158300,14100,,msa,14100,,2019
"Bluefield, WV-VA Micro Area",41715,107910,44.2,8785,3400,44114,31776,98800,14140,,msa,14140,,2019
"Blytheville, AR Micro Area",39962,42126,36.6,2369,982,16389,9237,84500,14180,,msa,14180,,2019
"Bogalusa, LA Micro Area",37570,46435,39.4,2416,1095,17613,11875,101000,14220,,msa,14220,,2019
"Boise City, ID Metro Area",60568,710743,36.3,99679,34428,260369,181466,239900,14260,,msa,14260,,2019
"Bonham, TX Micro Area",54648,34537,41.3,2684,1149,12453,9117,123100,14300,,msa,14300,,2019
"Boone, NC Micro Area",47526,54925,31.9,7693,3538,21077,12658,238000,14380,,msa,14380,,2019
"Borger, TX Micro Area",52524,21344,38.0,1531,287,6929,5566,78800,14420,,msa,14420,,2019
"Boston-Cambridge-Newton, MA-NH Metro Area",90333,4832346,38.7,879504,514967,1831217,1130182,437500,14460,,msa,14460,,2019
"Boulder, CO Metro Area",83019,322510,36.6,72262,40006,127415,79273,497300,14500,,msa,14500,,2019
"Bowling Green, KY Metro Area",49700,174498,35.1,17808,8158,65672,41509,151000,14540,,msa,14540,,2019
"Bozeman, MT Micro Area",66397,108063,33.4,22434,7957,43777,26781,357100,14580,,msa,14580,,2019
"Bradford, PA Micro Area",48647,41401,43.2,3552,1528,17147,12699,80400,14620,,msa,14620,,2019
"Brainerd, MN Micro Area",55154,93485,45.9,10709,3935,39984,31256,197200,14660,,msa,14660,,2019
"Branson, MO Micro Area",46031,55114,42.2,5143,1804,22272,13740,139800,14700,,msa,14700,,2019
"Breckenridge, CO Micro Area",79277,30649,39.1,8795,2462,10641,6970,579600,14720,,msa,14720,,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",75411,265882,39.1,40043,15717,103913,70456,329900,14740,,msa,14740,,2019
"Brenham, TX Micro Area",54971,35163,41.5,4410,1281,12625,9358,179100,14780,,msa,14780,,2019
"Brevard, NC Micro Area",50212,33775,51.1,5006,2481,14567,11072,221900,14820,,msa,14820,,2019
"Bridgeport-Stamford-Norwalk, CT Metro Area",95645,943926,40.6,172191,100347,340189,228111,428500,14860,,msa,14860,,2019
"Brookhaven, MS Micro Area",42606,34320,38.9,2248,1084,12699,9568,99500,15020,,msa,15020,,2019
"Brookings, OR Micro Area",48440,22650,56.3,2720,1187,10546,7526,265400,15060,,msa,15060,,2019
"Brookings, SD Micro Area",58136,34601,27.0,4873,1558,12896,7628,179000,15100,,msa,15100,,2019
"Brownsville, TN Micro Area",37905,17623,42.0,729,449,7181,4177,100700,15140,,msa,15140,,2019
"Brownsville-Harlingen, TX Metro Area",38758,421666,31.7,29859,9510,124605,82097,85800,15180,,msa,15180,,2019
"Brownwood, TX Micro Area",48365,37855,41.5,3605,1039,14409,10441,102500,15220,,msa,15220,,2019
"Brunswick, GA Metro Area",50671,117400,42.7,12412,5869,46984,31641,155300,15260,,msa,15260,,2019
"Bucyrus-Galion, OH Micro Area",44971,41821,43.0,2709,1293,17782,12390,88400,15340,,msa,15340,,2019
"Buffalo-Cheektowaga, NY Metro Area",57621,1130175,40.8,146777,84748,478104,314126,148500,15380,,msa,15380,,2019
"Burley, ID Micro Area",53116,44395,34.1,3131,1017,14961,10740,154900,15420,,msa,15420,,2019
"Burlington, IA-IL Micro Area",51667,46195,43.9,4506,1503,19868,14324,104100,15460,,msa,15460,,2019
"Burlington, NC Metro Area",49688,163324,39.1,19098,5843,64439,41994,154800,15500,,msa,15500,,2019
"Burlington-South Burlington, VT Metro Area",71413,218784,37.8,39250,18200,87679,57745,275600,15540,,msa,15540,,2019
"Butte-Silver Bow, MT Micro Area",45718,34770,40.0,4439,1495,14960,10308,149800,15580,,msa,15580,,2019
"Cadillac, MI Micro Area",47193,48284,42.3,3855,1414,19018,14809,111900,15620,,msa,15620,,2019
"Calhoun, GA Micro Area",45865,57202,38.4,3334,1648,20561,13394,136000,15660,,msa,15660,,2019
"California-Lexington Park, MD Metro Area",89845,112290,36.7,14049,7830,40552,28811,301300,15680,,msa,15680,,2019
