NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,year
"Aberdeen, SD Micro Area",71488,41925,38.3,6310,2073,17915,12336,215100,10100,2024
"Aberdeen, WA Micro Area",64414,77053,44.7,6906,2603,30628,22424,314000,10140,2024
"Abilene, TX Metro Area",67328,180408,34.5,19850,8220,66088,42252,178700,10180,2024
"Ada, OK Micro Area",63017,38235,37.7,4694,2249,15134,9990,175400,10220,2024
"Adrian, MI Micro Area",70518,98415,42.4,10274,4455,38871,30924,196800,10300,2024
"Aguadilla, PR Metro Area",22398,251769,45.7,34595,8954,94130,62657,130500,10380,2024
"Akron, OH Metro Area",72371,699820,41.0,107457,48140,296516,201905,213000,10420,2024
"Alamogordo, NM Micro Area",55876,68816,36.4,6918,2801,24480,16400,162700,10460,2024
"Alamosa, CO Micro Area",51237,27718,36.4,3107,1701,11463,7445,217700,10480,2024
"Albany, GA Metro Area",56906,146018,38.1,11855,7163,57689,32438,157300,10500,2024
"Albany, OR Metro Area",76329,130706,40.1,13606,4753,50729,33918,376400,10540,2024
"Albany-Schenectady-Troy, NY Metro Area",88074,906052,40.5,143568,90666,383063,245753,285900,10580,2024
"Albemarle, NC Micro Area",60704,64651,40.5,6531,1957,25240,18792,242400,10620,2024
"Albert Lea, MN Micro Area",71023,30623,44.3,2664,949,12846,10213,171100,10660,2024
"Albertville, AL Micro Area",62571,99748,38.5,9443,3450,36459,27625,201500,10700,2024
"Albuquerque, NM Metro Area",70783,921482,39.8,128243,72281,376025,259675,287800,10740,2024
"Alexander City, AL Micro Area",59356,40938,45.6,3960,1445,17076,12989,158500,10760,2024
"Alexandria, LA Metro Area",56353,149622,38.0,13901,5658,56394,37644,175200,10780,2024
"Alexandria, MN Micro Area",79043,39575,44.5,5724,1905,17519,13394,321400,10820,2024
"Alice, TX Micro Area",50888,45793,36.5,3525,1024,16256,10662,113500,10860,2024
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",84587,873603,41.4,127900,57875,339656,236772,300800,10900,2024
"Alma, MI Micro Area",63556,41385,39.6,3682,1336,14775,11651,147500,10940,2024
"Alpena, MI Micro Area",53950,28880,47.8,2484,1066,13019,10415,153900,10980,2024
"Altoona, PA Metro Area",62382,121277,43.1,14576,4879,50558,36579,161100,11020,2024
"Altus, OK Micro Area",62799,24678,35.1,2456,1179,9775,5788,158400,11060,2024
"Amarillo, TX Metro Area",69611,271917,36.3,31863,11472,103062,65834,208700,11100,2024
"Americus, GA Micro Area",43688,33574,38.4,2502,1523,12625,7532,122400,11140,2024
"Ames, IA Metro Area",73127,127134,29.9,20313,8441,49840,30348,246300,11180,2024
"Amherst Town-Northampton, MA Metro Area",87001,162028,37.4,24154,18950,62114,42116,390300,11200,2024
"Amsterdam, NY Micro Area",64943,49528,40.3,4748,2505,19603,13798,157500,11220,2024
"Anchorage, AK Metro Area",100505,401964,35.6,57575,25023,148466,100185,379100,11260,2024
"Anderson Creek, NC Micro Area",71287,139150,35.6,14791,6081,49845,35404,246200,11360,2024
"Andrews, TX Micro Area",72242,18610,33.0,1634,245,6844,5374,195700,11380,2024
"Angola, IN Micro Area",74911,34726,43.5,3940,1831,14058,11172,216200,11420,2024
"Ann Arbor, MI Metro Area",89180,369822,35.0,64674,46968,150550,92768,374100,11460,2024
"Anniston-Oxford, AL Metro Area",55029,116090,39.3,9874,4609,45015,31654,156600,11500,2024
"Appleton, WI Metro Area",85825,245768,39.4,39891,11975,99754,73140,268900,11540,2024
"Arcadia, FL Micro Area",54417,35386,43.5,1976,704,12824,9300,174100,11580,2024
"Ardmore, OK Micro Area",60723,48555,38.3,4297,1699,19046,12731,168500,11620,2024
"Arecibo, PR Metro Area",25084,180767,45.5,27319,6855,67958,47056,116800,11640,2024
"Arkadelphia, AR Micro Area",52034,21125,32.0,2099,847,8121,5278,155000,11660,2024
"Arkansas City-Winfield, KS Micro Area",57878,34411,39.2,3672,1536,13387,9117,120900,11680,2024
"Asheville, NC Metro Area",71838,414711,44.0,78889,35883,161264,112183,370900,11700,2024
"Ashland, OH Micro Area",69860,52256,41.2,5470,1966,20720,16131,186800,11740,2024
"Astoria, OR Micro Area",71822,41363,46.0,5587,2616,17984,11374,468300,11820,2024
"Atchison, KS Micro Area",61112,16208,36.1,1322,666,5735,4124,145700,11860,2024
"Athens, OH Micro Area",56001,61737,33.2,5928,5003,23014,13899,185000,11900,2024
"Athens, TN Micro Area",61438,68227,42.9,5540,1884,26453,20316,205300,11940,2024
"Athens, TX Micro Area",65179,84862,43.8,8306,3189,33575,26126,211300,11980,2024
"Athens-Clarke County, GA Metro Area",65608,220197,33.6,29079,17974,86101,47934,310200,12020,2024
"Atlanta-Sandy Springs-Roswell, GA Metro Area",89724,6256377,37.2,1084573,503323,2313055,1529469,367600,12060,2024
"Atlantic City-Hammonton, NJ Metro Area",82105,371211,44.5,58701,22648,154441,111334,331700,12100,2024
"Auburn, IN Micro Area",74331,43807,38.4,4234,1521,17096,14029,194100,12140,2024
"Auburn, NY Micro Area",67904,75102,43.8,7341,4993,31524,22518,171000,12180,2024
"Auburn-Opelika, AL Metro Area",63649,199825,34.1,27317,15614,76673,50518,247500,12220,2024
"Augusta-Richmond County, GA-SC Metro Area",69344,624181,38.3,75133,35175,231857,157738,226100,12260,2024
"Augusta-Waterville, ME Micro Area",69077,126808,43.7,18088,7621,54312,40006,238200,12300,2024
"Austin, MN Micro Area",73074,40343,39.2,4190,1636,15719,12195,185200,12380,2024
"Austin-Round Rock-San Marcos, TX Metro Area",100431,2426592,36.0,531649,236077,989434,576470,465000,12420,2024
"Bainbridge, GA Micro Area",53317,29195,38.9,1754,872,10621,6598,158800,12460,2024
"Baker City, OR Micro Area",60936,16840,47.0,2385,729,7355,5258,285600,12520,2024
"Bakersfield-Delano, CA Metro Area",70210,915075,32.7,69245,26410,284931,171133,338300,12540,2024
"Baltimore-Columbia-Towson, MD Metro Area",99470,2849436,39.0,465808,292937,1120269,749584,391300,12580,2024
"Bangor, ME Metro Area",66356,154710,42.5,20331,8885,65221,46010,214100,12620,2024
"Baraboo, WI Micro Area",79541,66009,41.6,8889,2793,27987,20252,258600,12660,2024
"Barnstable Town, MA Metro Area",95241,231668,55.4,47512,29705,105777,85753,629000,12700,2024
"Barre, VT Micro Area",83449,60017,43.8,12644,6750,25855,19047,315000,12740,2024
"Bartlesville, OK Micro Area",60162,53326,39.2,7510,2563,20957,15061,173200,12780,2024
"Batavia, NY Micro Area",73314,57787,42.4,5584,3683,24873,18351,170500,12860,2024
"Batesville, AR Micro Area",56609,38175,38.7,3035,1106,14638,10128,142600,12900,2024
"Baton Rouge, LA Metro Area",69599,875313,36.2,106950,47239,332585,229860,241100,12940,2024
"Battle Creek, MI Metro Area",63177,133778,40.2,13769,5633,53333,38747,162800,12980,2024
"Bay City, MI Metro Area",61763,103008,43.9,11358,4166,45103,34745,152200,13020,2024
"Bay City, TX Micro Area",58628,36329,37.8,3419,1621,15439,10515,172900,13060,2024
"Beatrice, NE Micro Area",67247,21629,42.6,2601,655,9327,6858,174000,13100,2024
"Beaumont-Port Arthur, TX Metro Area",64659,396827,37.7,36012,11867,149466,101933,173600,13140,2024
"Beaver Dam, WI Micro Area",75929,88742,43.0,9307,2958,35910,25612,231900,13180,2024
