NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,year
"Homosassa Springs, FL Metro Area",38109,139771,55.0,11853,4466,60670,49432,113500,26140,2014
"Hickory-Lenoir-Morganton, NC Metro Area",40820,363936,41.4,30300,10648,138096,98877,120200,25860,2014
"Hobbs, NM Micro Area",55248,66876,31.5,3148,1541,21331,15050,101400,26020,2014
"Holland, MI Micro Area",52472,112266,39.8,10568,3891,41767,34133,137500,26090,2014
"Hood River, OR Micro Area",56417,22620,39.1,3251,977,8251,5294,309500,26220,2014
"Hot Springs, AR Metro Area",39558,96804,44.1,8765,4026,39876,27022,130200,26300,2014
"Houghton, MI Micro Area",36608,38936,34.2,4107,1654,14962,10539,90700,26340,2014
"Houma-Thibodaux, LA Metro Area",50138,209402,35.9,13007,4014,74964,55681,132900,26380,2014
"Houston-The Woodlands-Sugar Land, TX Metro Area",58689,6204141,33.5,762519,283151,2112447,1295275,144000,26420,2014
"Hudson, NY Micro Area",58625,62525,46.5,6492,4889,25095,18067,222800,26460,2014
"Huntingdon, PA Micro Area",44163,45950,42.4,2933,1169,17231,13133,115900,26500,2014
"Huntington, IN Micro Area",47356,36959,39.9,2749,1377,14413,11005,97100,26540,2014
"Huntington-Ashland, WV-KY-OH Metro Area",42448,364514,40.9,28366,14358,143943,103381,103400,26580,2014
"Huntsville, AL Metro Area",55881,430396,37.9,64490,29715,167565,117875,161000,26620,2014
"Huntsville, TX Micro Area",38129,83334,36.8,6341,2210,25759,15998,107000,26660,2014
"Huron, SD Micro Area",44258,17922,38.2,1967,424,7460,4871,91600,26700,2014
"Hutchinson, KS Micro Area",44673,64223,39.7,5714,2315,25335,17292,92500,26740,2014
"Hutchinson, MN Micro Area",56234,36172,39.6,3320,1023,14727,11211,151400,26780,2014
"Idaho Falls, ID Metro Area",50987,136057,32.2,14497,4153,45605,34349,153400,26820,2014
"Indiana, PA Micro Area",45168,88301,38.8,7929,3513,34398,24553,107000,26860,2014
"Indianapolis-Carmel-Anderson, IN Metro Area",52434,1931182,36.0,253927,96306,734934,484053,139900,26900,2014
"Indianola, MS Micro Area",27941,28314,33.7,1602,768,8451,4946,70600,26940,2014
"Ionia, MI Micro Area",48100,63976,37.3,4310,1473,22140,17367,109100,26960,2014
"Iowa City, IA Metro Area",55030,158708,31.0,24305,11554,63906,39356,180800,26980,2014
"Iron Mountain, MI-WI Micro Area",45340,30570,46.9,2976,1226,13107,10830,90500,27020,2014
"Ithaca, NY Metro Area",52836,103179,29.8,12409,9837,38340,21501,171000,27060,2014
"Jackson, MI Metro Area",45452,159927,40.2,14172,4956,60485,43916,110500,27100,2014
"Jackson, MS Metro Area",45366,574998,35.3,65690,27469,206923,139355,129800,27140,2014
"Jackson, OH Micro Area",37393,32952,39.6,2466,1280,13204,9089,90700,27160,2014
"Jackson, TN Metro Area",41346,130233,37.5,12301,4200,47768,31612,108900,27180,2014
"Jackson, WY-ID Micro Area",66590,32168,36.5,7835,2373,11431,7178,396000,27220,2014
"Jacksonville, FL Metro Area",52067,1380995,37.7,176272,58604,516599,339808,158300,27260,2014
"Jacksonville, IL Micro Area",46760,40532,41.2,3605,1643,16035,11245,93100,27300,2014
"Jacksonville, NC Metro Area",46141,182921,25.9,12257,4026,61147,32832,154100,27340,2014
