city	metro_name	yr	qtr	index_nsa	index_sa	rstderr	note
10180	"Abilene, TX"	1991	1	100.00	100.00	0.00	"Note: Fewer than 1,000 repeat-sales records have accumulated up to this quarter"
10180	"Abilene, TX"	1991	2	106.99	105.05	4.96	"Note: Fewer than 1,000 repeat-sales records have accumulated up to this quarter"
10180	"Abilene, TX"	1991	3	107.08	104.70	5.30	"Note: Fewer than 1,000 repeat-sales records have accumulated up to this quarter"
10180	"Abilene, TX"	1991	4	97.12	95.04	4.71	"Note: Fewer than 1,000 repeat-sales records have accumulated up to this quarter"
10180	"Abilene, TX"	1992	1	107.36	107.32	4.15	"	"
10180	"Abilene, TX"	1992	2	104.63	102.75	4.28	"	"
10180	"Abilene, TX"	1992	3	106.67	104.31	4.10	"	"
10180	"Abilene, TX"	1992	4	111.34	108.99	4.09	"	"
10180	"Abilene, TX"	1993	1	111.17	111.03	4.29	"	"
10180	"Abilene, TX"	1993	2	110.19	108.24	4.14	"	"
10180	"Abilene, TX"	1993	3	116.04	113.50	4.06	"	"
10180	"Abilene, TX"	1993	4	116.45	114.06	4.21	"	"
10180	"Abilene, TX"	1994	1	115.17	114.87	4.11	"	"
10180	"Abilene, TX"	1994	2	120.63	118.55	4.15	"	"
10180	"Abilene, TX"	1994	3	119.46	116.91	4.07	"	"
10180	"Abilene, TX"	1994	4	120.84	118.41	4.05	"	"
10180	"Abilene, TX"	1995	1	119.66	119.17	4.21	"	"
10180	"Abilene, TX"	1995	2	121.76	119.70	4.04	"	"
10180	"Abilene, TX"	1995	3	125.85	123.26	4.06	"	"
10180	"Abilene, TX"	1995	4	128.25	125.71	4.15	"	"
10180	"Abilene, TX"	1996	1	124.34	123.73	4.14	"	"
10180	"Abilene, TX"	1996	2	130.23	127.95	4.01	"	"
10180	"Abilene, TX"	1996	3	129.92	127.32	4.01	"	"
10180	"Abilene, TX"	1996	4	129.43	127.04	4.18	"	"
10180	"Abilene, TX"	1997	1	129.94	129.16	4.13	"	"
10180	"Abilene, TX"	1997	2	131.32	128.87	4.02	"	"
10180	"Abilene, TX"	1997	3	132.96	130.34	4.00	"	"
10180	"Abilene, TX"	1997	4	133.07	130.91	4.05	"	"
10180	"Abilene, TX"	1998	1	132.93	131.97	4.07	"	"
10180	"Abilene, TX"	1998	2	130.61	127.99	4.02	"	"
10180	"Abilene, TX"	1998	3	134.96	132.29	4.01	"	"
10180	"Abilene, TX"	1998	4	136.28	134.49	4.03	"	"
10180	"Abilene, TX"	1999	1	136.22	134.98	4.05	"	"
10180	"Abilene, TX"	1999	2	139.12	136.18	3.97	"	"
10180	"Abilene, TX"	1999	3	137.29	134.59	3.97	"	"
10180	"Abilene, TX"	1999	4	141.44	139.96	4.02	"	"
10180	"Abilene, TX"	2000	1	140.27	138.72	4.06	"	"
10180	"Abilene, TX"	2000	2	142.08	139.03	3.97	"	"
10180	"Abilene, TX"	2000	3	143.17	140.35	3.96	"	"
10180	"Abilene, TX"	2000	4	142.56	141.30	4.07	"	"
10180	"Abilene, TX"	2001	1	142.16	140.43	4.06	"	"
10180	"Abilene, TX"	2001	2	146.83	143.63	3.97	"	"
10180	"Abilene, TX"	2001	3	143.70	140.87	3.96	"	"
10180	"Abilene, TX"	2001	4	140.54	139.42	4.05	"	"
10180	"Abilene, TX"	2002	1	146.42	144.60	4.05	"	"
10180	"Abilene, TX"	2002	2	149.26	145.91	3.96	"	"
10180	"Abilene, TX"	2002	3	151.64	148.66	3.97	"	"
10180	"Abilene, TX"	2002	4	148.40	147.31	4.00	"	"
10180	"Abilene, TX"	2003	1	153.02	151.13	4.04	"	"
10180	"Abilene, TX"	2003	2	155.65	152.08	3.96	"	"
10180	"Abilene, TX"	2003	3	154.13	151.08	3.93	"	"
10180	"Abilene, TX"	2003	4	152.25	151.24	4.00	"	"
10180	"Abilene, TX"	2004	1	157.75	155.76	4.01	"	"
10180	"Abilene, TX"	2004	2	159.11	155.43	3.95	"	"
10180	"Abilene, TX"	2004	3	162.23	159.00	3.95	"	"
10180	"Abilene, TX"	2004	4	162.24	161.24	4.00	"	"
10180	"Abilene, TX"	2005	1	166.73	164.50	3.96	"	"
10180	"Abilene, TX"	2005	2	174.82	170.94	3.93	"	"
10180	"Abilene, TX"	2005	3	178.46	174.85	3.95	"	"
10180	"Abilene, TX"	2005	4	181.62	180.42	3.97	"	"
10180	"Abilene, TX"	2006	1	183.64	181.14	3.95	"	"
10180	"Abilene, TX"	2006	2	187.44	183.54	3.93	"	"
10180	"Abilene, TX"	2006	3	193.93	189.90	3.92	"	"
10180	"Abilene, TX"	2006	4	196.20	194.68	3.96	"	"
10180	"Abilene, TX"	2007	1	196.34	193.73	3.97	"	"
10180	"Abilene, TX"	2007	2	204.56	200.66	3.91	"	"
10180	"Abilene, TX"	2007	3	205.40	200.91	3.91	"	"
10180	"Abilene, TX"	2007	4	199.39	197.60	3.98	"	"
10180	"Abilene, TX"	2008	1	206.65	204.14	3.98	"	"
10180	"Abilene, TX"	2008	2	208.85	205.06	3.94	"	"
10180	"Abilene, TX"	2008	3	206.95	202.23	3.97	"	"
10180	"Abilene, TX"	2008	4	208.10	206.00	4.09	"	"
10180	"Abilene, TX"	2009	1	209.06	206.78	4.06	"	"
10180	"Abilene, TX"	2009	2	207.31	203.66	3.98	"	"
10180	"Abilene, TX"	2009	3	208.79	203.84	4.01	"	"
10180	"Abilene, TX"	2009	4	206.63	204.43	4.05	"	"
10180	"Abilene, TX"	2010	1	200.83	198.86	4.17	"	"
10180	"Abilene, TX"	2010	2	208.83	205.14	3.98	"	"
10180	"Abilene, TX"	2010	3	208.63	203.60	4.12	"	"
10180	"Abilene, TX"	2010	4	205.45	203.22	4.07	"	"
10180	"Abilene, TX"	2011	1	205.56	203.63	4.15	"	"
10180	"Abilene, TX"	2011	2	204.32	200.80	4.07	"	"
10180	"Abilene, TX"	2011	3	208.72	203.55	4.13	"	"
10180	"Abilene, TX"	2011	4	204.30	202.03	4.12	"	"
10180	"Abilene, TX"	2012	1	207.37	205.51	4.10	"	"
10180	"Abilene, TX"	2012	2	210.07	206.56	4.07	"	"
10180	"Abilene, TX"	2012	3	216.26	210.74	4.05	"	"
10180	"Abilene, TX"	2012	4	211.16	208.74	4.10	"	"
10180	"Abilene, TX"	2013	1	212.52	210.85	4.08	"	"
10180	"Abilene, TX"	2013	2	219.72	216.00	3.99	"	"
10180	"Abilene, TX"	2013	3	223.86	218.04	3.97	"	"
10180	"Abilene, TX"	2013	4	224.33	221.72	4.11	"	"
10180	"Abilene, TX"	2014	1	222.55	221.06	4.07	"	"
10180	"Abilene, TX"	2014	2	232.25	228.11	3.98	"	"
10180	"Abilene, TX"	2014	3	234.76	228.62	3.98	"	"
10180	"Abilene, TX"	2014	4	234.97	232.28	4.06	"	"
10180	"Abilene, TX"	2015	1	238.89	237.55	4.08	"	"
10180	"Abilene, TX"	2015	2	236.26	231.62	3.97	"	"
10180	"Abilene, TX"	2015	3	245.15	238.93	3.97	"	"
10180	"Abilene, TX"	2015	4	244.23	241.47	4.05	"	"
10180	"Abilene, TX"	2016	1	244.06	242.89	4.08	"	"
10180	"Abilene, TX"	2016	2	248.02	242.63	3.97	"	"
10180	"Abilene, TX"	2016	3	254.67	248.57	3.97	"	"
10180	"Abilene, TX"	2016	4	253.16	250.29	4.03	"	"
10180	"Abilene, TX"	2017	1	252.30	251.27	4.02	"	"
10180	"Abilene, TX"	2017	2	258.82	252.61	3.99	"	"
10180	"Abilene, TX"	2017	3	263.78	257.91	3.97	"	"
10180	"Abilene, TX"	2017	4	266.19	263.26	4.01	"	"
10180	"Abilene, TX"	2018	1	265.13	263.99	4.03	"	"
10180	"Abilene, TX"	2018	2	277.27	270.16	3.97	"	"
10180	"Abilene, TX"	2018	3	276.17	270.48	3.96	"	"
10180	"Abilene, TX"	2018	4	277.55	274.53	4.04	"	"
10180	"Abilene, TX"	2019	1	282.13	280.90	4.06	"	"
10180	"Abilene, TX"	2019	2	284.25	276.46	3.99	"	"
10180	"Abilene, TX"	2019	3	287.11	281.67	3.96	"	"
10180	"Abilene, TX"	2019	4	286.07	282.97	4.05	"	"
10180	"Abilene, TX"	2020	1	290.03	288.86	4.05	"	"
10180	"Abilene, TX"	2020	2	304.64	295.64	3.96	"	"
10180	"Abilene, TX"	2020	3	307.19	301.92	3.94	"	"
10180	"Abilene, TX"	2020	4	312.90	309.54	3.99	"	"
10180	"Abilene, TX"	2021	1	319.67	318.54	4.02	"	"
10180	"Abilene, TX"	2021	2	346.76	335.71	3.94	"	"
10180	"Abilene, TX"	2021	3	351.91	346.39	3.96	"	"
10180	"Abilene, TX"	2021	4	363.00	359.41	4.00	"	"
10180	"Abilene, TX"	2022	1	374.94	373.42	4.03	"	"
10180	"Abilene, TX"	2022	2	392.42	379.42	3.99	"	"
10180	"Abilene, TX"	2022	3	388.72	382.95	4.01	"	"
10180	"Abilene, TX"	2022	4	379.96	376.59	4.14	"	"
10180	"Abilene, TX"	2023	1	398.89	396.98	4.06	"	"
10180	"Abilene, TX"	2023	2	412.36	398.35	4.03	"	"
10180	"Abilene, TX"	2023	3	411.15	405.35	4.09	"	"
10180	"Abilene, TX"	2023	4	422.33	418.77	4.18	"	"
10180	"Abilene, TX"	2024	1	408.59	406.48	4.17	"	"
10180	"Abilene, TX"	2024	2	435.27	420.24	4.08	"	"
10180	"Abilene, TX"	2024	3	413.15	407.60	4.13	"	"
10180	"Abilene, TX"	2024	4	417.78	414.30	4.28	"	"
10180	"Abilene, TX"	2025	1	416.99	414.71	4.22	"	"
10180	"Abilene, TX"	2025	2	440.10	424.80	4.14	"	"
10180	"Abilene, TX"	2025	3	440.47	434.77	4.10	"	"
10180	"Abilene, TX"	2025	4	443.94	440.25	4.20	"	"
10180	"Abilene, TX"	2026	1	462.46	459.74	4.19	"	"
10180	"Abilene, TX"	2026	2	482.43	465.72	4.19	"	"
10420	"Akron, OH"	1991	1	100.00	100.00	0.00	"	"
10420	"Akron, OH"	1991	2	102.71	100.53	0.83	"	"
10420	"Akron, OH"	1991	3	102.89	100.93	0.84	"	"
10420	"Akron, OH"	1991	4	105.14	103.28	0.87	"	"
10420	"Akron, OH"	1992	1	105.51	105.59	0.85	"	"
10420	"Akron, OH"	1992	2	108.59	106.28	0.81	"	"
10420	"Akron, OH"	1992	3	109.86	107.65	0.84	"	"
10420	"Akron, OH"	1992	4	110.40	108.52	0.83	"	"
10420	"Akron, OH"	1993	1	109.43	109.58	0.91	"	"
10420	"Akron, OH"	1993	2	114.90	112.45	0.83	"	"
10420	"Akron, OH"	1993	3	117.15	114.66	0.83	"	"
10420	"Akron, OH"	1993	4	119.25	117.34	0.85	"	"
