hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,rstderr,note
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100.00,100.00,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,100.87,100.87,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.32,100.90,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.73,100.96,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.32,101.31,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.81,101.50,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,103.02,101.87,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.13,102.00,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.84,101.96,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10,103.08,102.25,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11,103.98,103.30,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12,103.74,103.35,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.87,103.88,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.37,104.37,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.52,105.10,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,105.94,105.14,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.50,105.45,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,106.93,105.55,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.11,105.90,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.54,106.34,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.53,106.61,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10,108.17,107.28,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11,108.40,107.71,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12,108.74,108.34,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.39,108.45,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.30,108.28,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.21,108.83,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.20,109.34,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,5,110.79,109.70,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,6,111.91,110.44,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,7,112.11,110.82,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,8,112.58,111.32,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,9,113.05,112.05,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,10,113.19,112.25,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,11,113.50,112.79,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,12,113.78,113.39,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,1,113.99,114.11,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,2,114.36,114.33,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,3,115.09,114.72,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,4,116.26,115.35,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,5,117.10,115.92,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,6,117.81,116.23,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,7,117.85,116.46,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,8,118.25,116.91,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,9,118.30,117.22,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,10,118.89,117.89,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,11,119.05,118.35,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,12,118.82,118.44,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,1,119.01,119.20,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,2,119.83,119.80,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,3,120.36,120.00,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,4,121.67,120.71,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,5,121.96,120.70,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,6,123.19,121.53,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,7,123.62,122.11,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,8,124.19,122.76,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,9,124.45,123.28,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,10,124.73,123.68,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,11,124.58,123.86,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,12,125.03,124.69,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,1,124.83,125.11,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,2,125.81,125.76,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,3,126.64,126.25,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,4,128.16,127.19,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,5,128.87,127.48,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,6,129.41,127.66,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,7,130.04,128.39,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,8,129.79,128.27,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,9,129.95,128.70,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,10,129.80,128.71,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,11,130.61,129.90,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,12,130.45,130.16,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,1,129.91,130.23,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,2,130.51,130.46,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,3,131.64,131.20,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,4,132.03,131.06,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,5,133.46,131.96,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,6,133.95,132.14,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,7,134.29,132.51,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,8,134.48,132.89,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,9,134.42,133.10,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,10,134.71,133.59,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,11,134.62,133.93,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,12,134.52,134.27,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,1,134.39,134.73,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,2,135.60,135.56,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,3,136.46,135.97,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,4,137.25,136.30,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,5,138.33,136.74,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,6,139.29,137.41,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,7,139.59,137.69,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,8,139.92,138.23,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,9,140.46,139.04,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,10,141.01,139.83,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,11,141.39,140.72,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,12,141.26,141.06,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,1,141.17,141.50,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,2,142.41,142.41,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,3,143.29,142.75,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,4,144.12,143.15,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,5,145.87,144.17,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,6,146.65,144.66,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,7,147.38,145.33,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,8,148.08,146.27,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,9,148.07,146.51,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,10,148.47,147.22,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,11,148.14,147.46,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,12,148.36,148.22,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,1,149.53,149.84,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,2,149.15,149.21,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,3,151.10,150.55,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,4,152.17,151.17,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,5,153.32,151.53,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,6,154.69,152.56,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,7,155.47,153.26,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,8,155.71,153.74,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,9,155.85,154.15,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,10,155.92,154.56,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,11,155.81,155.11,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,12,156.15,156.07,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,1,156.34,156.67,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,2,157.27,157.41,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,3,158.40,157.88,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,4,159.68,158.63,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,5,160.99,159.09,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,6,161.78,159.52,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,7,162.48,160.11,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,8,162.77,160.62,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,9,163.08,161.26,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,10,163.77,162.31,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,11,163.25,162.52,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,12,163.17,163.11,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,1,163.49,163.91,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,2,164.02,164.30,,
