cbsa_code,metric,period,value
10180,fmr_2br,2019,822.0
10180,fmr_2br,2024,1117.0
10180,fmr_2br,2027,1310.0
10420,fmr_2br,2019,810.0
10420,fmr_2br,2024,1039.0
10420,fmr_2br,2027,1231.0
10500,fmr_2br,2019,682.0
10500,fmr_2br,2024,997.0
10500,fmr_2br,2027,1103.0
10540,fmr_2br,2019,1006.0
10540,fmr_2br,2024,1384.0
10540,fmr_2br,2027,1726.0
10580,fmr_2br,2019,1115.0
10580,fmr_2br,2024,1374.0
10580,fmr_2br,2027,1711.0
10740,fmr_2br,2019,877.0
10740,fmr_2br,2024,1222.0
10740,fmr_2br,2027,1384.0
10780,fmr_2br,2019,777.0
10780,fmr_2br,2024,995.0
10780,fmr_2br,2027,995.0
10900,fmr_2br,2019,1129.0
10900,fmr_2br,2024,1426.0
10900,fmr_2br,2027,1839.0
11020,fmr_2br,2019,796.0
11020,fmr_2br,2024,993.0
11020,fmr_2br,2027,1151.0
11100,fmr_2br,2019,849.0
11100,fmr_2br,2024,1082.0
11100,fmr_2br,2027,1107.0
11180,fmr_2br,2019,917.0
11180,fmr_2br,2024,1033.0
11180,fmr_2br,2027,1061.0
11260,fmr_2br,2019,1313.0
11260,fmr_2br,2024,1454.0
11260,fmr_2br,2027,1529.0
11460,fmr_2br,2019,1140.0
11460,fmr_2br,2024,1471.0
11460,fmr_2br,2027,1804.0
11500,fmr_2br,2019,676.0
11500,fmr_2br,2024,903.0
11500,fmr_2br,2027,1010.0
11540,fmr_2br,2019,774.0
11540,fmr_2br,2024,983.0
11540,fmr_2br,2027,1256.0
11700,fmr_2br,2019,993.0
11700,fmr_2br,2024,1680.0
11700,fmr_2br,2027,1866.0
12020,fmr_2br,2019,785.0
12020,fmr_2br,2024,1169.0
12020,fmr_2br,2027,1285.0
12100,fmr_2br,2019,1279.0
12100,fmr_2br,2024,1670.0
12100,fmr_2br,2027,1899.0
12220,fmr_2br,2019,814.0
12220,fmr_2br,2024,1099.0
12220,fmr_2br,2027,1277.0
12260,fmr_2br,2019,836.0
12260,fmr_2br,2024,1100.0
12260,fmr_2br,2027,1329.0
12420,fmr_2br,2019,1315.0
12420,fmr_2br,2024,1924.0
12420,fmr_2br,2027,1817.0
12540,fmr_2br,2019,926.0
12540,fmr_2br,2024,1258.0
12540,fmr_2br,2027,1656.0
12580,fmr_2br,2019,1342.0
12580,fmr_2br,2024,1943.0
12580,fmr_2br,2027,2006.0
12700,fmr_2br,2019,1524.0
12700,fmr_2br,2024,2082.0
12700,fmr_2br,2027,2488.0
12940,fmr_2br,2019,981.0
12940,fmr_2br,2024,1277.0
12940,fmr_2br,2027,1149.0
12980,fmr_2br,2019,757.0
12980,fmr_2br,2024,1038.0
12980,fmr_2br,2027,1233.0
13020,fmr_2br,2019,771.0
13020,fmr_2br,2024,937.0
13020,fmr_2br,2027,1055.0
13140,fmr_2br,2019,920.0
13140,fmr_2br,2024,1126.0
13140,fmr_2br,2027,1218.0
13380,fmr_2br,2019,1058.0
13380,fmr_2br,2024,1571.0
13380,fmr_2br,2027,1872.0
13460,fmr_2br,2019,1071.0
13460,fmr_2br,2024,1623.0
13460,fmr_2br,2027,1893.0
13740,fmr_2br,2019,900.0
13740,fmr_2br,2024,1148.0
13740,fmr_2br,2027,1432.0
13780,fmr_2br,2019,830.0
13780,fmr_2br,2024,1141.0
13780,fmr_2br,2027,1219.0
13820,fmr_2br,2019,873.0
13820,fmr_2br,2024,1245.0
13820,fmr_2br,2027,1375.0
13900,fmr_2br,2019,863.0
13900,fmr_2br,2024,955.0
13900,fmr_2br,2027,1067.0
13980,fmr_2br,2019,869.0
13980,fmr_2br,2024,1261.0
13980,fmr_2br,2027,1340.0
14010,fmr_2br,2024,1103.0
14010,fmr_2br,2027,1287.0
14260,fmr_2br,2019,872.0
14260,fmr_2br,2024,1388.0
14260,fmr_2br,2027,1540.0
14500,fmr_2br,2019,1516.0
14500,fmr_2br,2024,2217.0
14500,fmr_2br,2027,2033.0
14540,fmr_2br,2019,781.0
14540,fmr_2br,2024,1104.0
14540,fmr_2br,2027,1199.0
14740,fmr_2br,2019,1204.0
14740,fmr_2br,2024,2049.0
14740,fmr_2br,2027,1967.0
15180,fmr_2br,2019,718.0
15180,fmr_2br,2024,965.0
15180,fmr_2br,2027,1042.0
15260,fmr_2br,2019,793.0
15260,fmr_2br,2024,1137.0
15260,fmr_2br,2027,1378.0
15380,fmr_2br,2019,838.0
15380,fmr_2br,2024,1163.0
15380,fmr_2br,2027,1423.0
15500,fmr_2br,2019,812.0
15500,fmr_2br,2024,1215.0
15500,fmr_2br,2027,1348.0
15540,fmr_2br,2019,1341.0
15540,fmr_2br,2024,1887.0
15540,fmr_2br,2027,2165.0
15940,fmr_2br,2019,775.0
15940,fmr_2br,2024,905.0
15940,fmr_2br,2027,1049.0
15980,fmr_2br,2019,1039.0
15980,fmr_2br,2024,1677.0
15980,fmr_2br,2027,1835.0
16020,fmr_2br,2019,748.0
16020,fmr_2br,2024,933.0
16020,fmr_2br,2027,1012.0
16180,fmr_2br,2019,862.0
16180,fmr_2br,2024,1359.0
16180,fmr_2br,2027,1453.0
16220,fmr_2br,2019,846.0
16220,fmr_2br,2024,1070.0
16220,fmr_2br,2027,1045.0
16300,fmr_2br,2019,812.0
16300,fmr_2br,2024,941.0
16300,fmr_2br,2027,1054.0
16540,fmr_2br,2019,926.0
16540,fmr_2br,2024,1150.0
16540,fmr_2br,2027,1325.0
16580,fmr_2br,2019,836.0
16580,fmr_2br,2024,1049.0
16580,fmr_2br,2027,1173.0
16620,fmr_2br,2019,821.0
16620,fmr_2br,2024,994.0
16620,fmr_2br,2027,1048.0
16700,fmr_2br,2019,1118.0
16700,fmr_2br,2024,1599.0
16700,fmr_2br,2027,1884.0
16740,fmr_2br,2019,1028.0
16740,fmr_2br,2024,1554.0
16740,fmr_2br,2027,1785.0
16820,fmr_2br,2019,1325.0
16820,fmr_2br,2024,1678.0
16820,fmr_2br,2027,1642.0
16860,fmr_2br,2019,847.0
16860,fmr_2br,2024,1232.0
16860,fmr_2br,2027,1340.0
16940,fmr_2br,2019,855.0
16940,fmr_2br,2024,1161.0
16940,fmr_2br,2027,1228.0
17020,fmr_2br,2019,1144.0
17020,fmr_2br,2024,1428.0
17020,fmr_2br,2027,1509.0
17140,fmr_2br,2019,884.0
