cbsa_code,metric,period,value
10100,irs_inflow_returns,2014,1009
10100,irs_net_exemptions,2014,-9
10100,irs_net_returns,2014,-49
10100,irs_outflow_returns,2014,1058
10140,irs_inflow_returns,2014,1512
10140,irs_net_exemptions,2014,-29
10140,irs_net_returns,2014,-23
10140,irs_outflow_returns,2014,1535
10180,irs_inflow_returns,2014,4629
10180,irs_net_exemptions,2014,-500
10180,irs_net_returns,2014,-302
10180,irs_outflow_returns,2014,4931
10220,irs_inflow_returns,2014,866
10220,irs_net_exemptions,2014,-75
10220,irs_net_returns,2014,-53
10220,irs_outflow_returns,2014,919
10300,irs_inflow_returns,2014,1755
10300,irs_net_exemptions,2014,-72
10300,irs_net_returns,2014,-87
10300,irs_outflow_returns,2014,1842
10420,irs_inflow_returns,2014,14029
10420,irs_net_exemptions,2014,-1812
10420,irs_net_returns,2014,-1284
10420,irs_outflow_returns,2014,15313
10460,irs_inflow_returns,2014,1766
10460,irs_net_exemptions,2014,-1421
10460,irs_net_returns,2014,-593
10460,irs_outflow_returns,2014,2359
10480,irs_inflow_returns,2014,657
10480,irs_net_exemptions,2014,-104
10480,irs_net_returns,2014,-66
10480,irs_outflow_returns,2014,723
10500,irs_inflow_returns,2014,3689
10500,irs_net_exemptions,2014,-1711
10500,irs_net_returns,2014,-795
10500,irs_outflow_returns,2014,4484
10540,irs_inflow_returns,2014,3118
10540,irs_net_exemptions,2014,560
10540,irs_net_returns,2014,211
10540,irs_outflow_returns,2014,2907
10580,irs_inflow_returns,2014,22093
10580,irs_net_exemptions,2014,-1463
10580,irs_net_returns,2014,-1041
10580,irs_outflow_returns,2014,23134
10620,irs_inflow_returns,2014,965
10620,irs_net_exemptions,2014,-18
10620,irs_net_returns,2014,-65
10620,irs_outflow_returns,2014,1030
10660,irs_inflow_returns,2014,550
10660,irs_net_exemptions,2014,-58
10660,irs_net_returns,2014,-78
10660,irs_outflow_returns,2014,628
10700,irs_inflow_returns,2014,1844
10700,irs_net_exemptions,2014,-371
10700,irs_net_returns,2014,-96
10700,irs_outflow_returns,2014,1940
10740,irs_inflow_returns,2014,19782
10740,irs_net_exemptions,2014,-2570
10740,irs_net_returns,2014,-971
10740,irs_outflow_returns,2014,20753
10760,irs_inflow_returns,2014,945
10760,irs_net_exemptions,2014,-956
10760,irs_net_returns,2014,-222
10760,irs_outflow_returns,2014,1167
10780,irs_inflow_returns,2014,2751
