CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025
10180,,,"Abilene, TX",Metropolitan Statistical Area,176594,176899,177942,179949,182493,183719,185429,305,1043,2007,2544,1226,1710,496,2141,2253,2266,2201,2198,430,2337,2174,1939,1896,1912,66,-196,79,327,305,286,2,144,593,733,752,526,193,1022,1361,1482,178,887,195,1166,1954,2215,930,1413,44,73,-26,2,-9,11
10180,,48059,"Callahan County, TX",County or equivalent,13706,13748,14104,14266,14427,14527,14491,42,356,162,161,100,-36,27,130,141,146,117,115,49,233,219,183,197,202,-22,-103,-78,-37,-80,-87,0,0,3,5,-4,-8,69,481,236,196,183,60,69,481,239,201,179,52,-5,-22,1,-3,1,-1
10180,,48253,"Jones County, TX",County or equivalent,19655,19667,19895,20337,20812,20802,20861,12,228,442,475,-10,59,40,147,158,174,166,169,59,285,234,205,209,209,-19,-138,-76,-31,-43,-40,0,4,6,3,9,5,25,374,481,492,25,95,25,378,487,495,34,100,6,-12,31,11,-1,-1
10180,,48441,"Taylor County, TX",County or equivalent,143233,143484,143943,145346,147254,148390,150077,251,459,1403,1908,1136,1687,429,1864,1954,1946,1918,1914,322,1819,1721,1551,1490,1501,107,45,233,395,428,413,2,140,584,725,747,529,99,167,644,794,-30,732,101,307,1228,1519,717,1261,43,107,-58,-6,-9,13
10420,,,"Akron, OH",Metropolitan Statistical Area,702229,701686,696259,697697,698608,700152,701780,-543,-5427,1438,911,1544,1628,1703,6697,6858,6641,6571,6597,2157,8625,9187,8138,7963,7898,-454,-1928,-2329,-1497,-1392,-1301,31,538,1598,1889,2556,1735,-295,-4244,2391,678,465,1155,-264,-3706,3989,2567,3021,2890,175,207,-222,-159,-85,39
10420,,39133,"Portage County, OH",County or equivalent,161800,161853,159004,161741,162700,163207,163404,53,-2849,2737,959,507,197,329,1331,1380,1311,1314,1318,420,1781,1987,1688,1737,1730,-91,-450,-607,-377,-423,-412,7,105,316,387,521,412,78,-2333,2841,969,418,183,85,-2228,3157,1356,939,595,59,-171,187,-20,-9,14
10420,,39153,"Summit County, OH",County or equivalent,540429,539833,537255,535956,535908,536945,538376,-596,-2578,-1299,-48,1037,1431,1374,5366,5478,5330,5257,5279,1737,6844,7200,6450,6226,6168,-363,-1478,-1722,-1120,-969,-889,24,433,1282,1502,2035,1323,-373,-1911,-450,-291,47,972,-349,-1478,832,1211,2082,2295,116,378,-409,-139,-76,25
10500,,,"Albany, GA",Metropolitan Statistical Area,148913,148242,144962,145820,145548,145707,145510,-671,-3280,858,-272,159,-197,438,1728,1693,1641,1725,1727,594,1856,2003,1763,1748,1752,-156,-128,-310,-122,-23,-25,1,19,123,190,362,181,-474,-2955,996,-320,-168,-359,-473,-2936,1119,-130,194,-178,-42,-216,49,-20,-12,6
10500,,13095,"Dougherty County, GA",County or equivalent,85796,85173,82320,83021,82757,82728,82616,-623,-2853,701,-264,-29,-112,283,1176,1083,1069,1096,1096,381,1154,1206,1067,1050,1046,-98,22,-123,2,46,50,1,14,94,133,276,124,-472,-2651,668,-391,-341,-289,-471,-2637,762,-258,-65,-165,-54,-238,62,-8,-10,3
10500,,13177,"Lee County, GA",County or equivalent,33161,33211,33179,33649,33850,34022,34179,50,-32,470,201,172,157,85,277,337,278,331,331,83,292,330,283,277,280,2,-15,7,-5,54,51,0,4,29,54,74,57,39,-35,438,160,45,46,39,-31,467,214,119,103,9,14,-4,-8,-1,3
10500,,13273,"Terrell County, GA",County or equivalent,9183,9139,8931,8788,8740,8776,8656,-44,-208,-143,-48,36,-120,17,82,83,108,110,111,52,128,149,140,128,130,-35,-46,-66,-32,-18,-19,0,0,1,3,1,0,-11,-159,-77,-18,53,-99,-11,-159,-76,-15,54,-99,2,-3,-1,-1,0,-2
10500,,13321,"Worth County, GA",County or equivalent,20773,20719,20532,20362,20201,20181,20059,-54,-187,-170,-161,-20,-122,53,193,190,186,188,189,78,282,318,273,293,296,-25,-89,-128,-87,-105,-107,0,1,-1,0,11,0,-30,-110,-33,-71,75,-17,-30,-109,-34,-71,86,-17,1,11,-8,-3,-1,2
10540,,,"Albany, OR",Metropolitan Statistical Area,128607,128950,130110,130555,131591,132584,132843,343,1160,445,1036,993,259,359,1489,1374,1443,1431,1445,378,1507,1752,1565,1511,1488,-19,-18,-378,-122,-80,-43,1,6,32,139,171,36,365,1117,806,1022,905,260,366,1123,838,1161,1076,296,-4,55,-15,-3,-3,6
10540,,41043,"Linn County, OR",County or equivalent,128607,128950,130110,130555,131591,132584,132843,343,1160,445,1036,993,259,359,1489,1374,1443,1431,1445,378,1507,1752,1565,1511,1488,-19,-18,-378,-122,-80,-43,1,6,32,139,171,36,365,1117,806,1022,905,260,366,1123,838,1161,1076,296,-4,55,-15,-3,-3,6
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899223,898629,904711,903349,906163,911532,915835,-594,6082,-1362,2814,5369,4303,2151,8381,8399,8254,8188,8121,2276,9175,9514,8950,8933,8849,-125,-794,-1115,-696,-745,-728,19,844,2498,4067,4833,2604,-643,5678,-2246,-373,1346,2380,-624,6522,252,3694,6179,4984,155,354,-499,-184,-65,47
10580,,36001,"Albany County, NY",County or equivalent,314840,314293,316195,315764,317590,319702,321225,-547,1902,-431,1826,2112,1523,744,2774,2795,2732,2733,2710,854,3188,3132,3022,3066,3044,-110,-414,-337,-290,-333,-334,18,479,1473,2514,3283,1572,-486,1702,-1408,-324,-803,258,-468,2181,65,2190,2480,1830,31,135,-159,-74,-35,27
10580,,36083,"Rensselaer County, NY",County or equivalent,161126,160889,160634,159213,159605,160014,160510,-237,-255,-1421,392,409,496,396,1525,1477,1497,1545,1525,411,1683,1851,1639,1674,1653,-15,-158,-374,-142,-129,-128,0,129,372,632,538,310,-240,-384,-1386,-67,6,303,-240,-255,-1014,565,544,613,18,158,-33,-31,-6,11
10580,,36091,"Saratoga County, NY",County or equivalent,235501,235815,237939,238523,238699,239834,241343,314,2124,584,176,1135,1509,506,2015,2072,2023,1962,1947,491,2173,2361,2254,2163,2131,15,-158,-289,-231,-201,-184,0,101,301,383,403,282,230,2084,752,69,945,1415,230,2185,1053,452,1348,1697,69,97,-180,-45,-12,-4
10580,,36093,"Schenectady County, NY",County or equivalent,158041,157874,159796,159790,160129,161747,162581,-167,1922,-6,339,1618,834,449,1804,1828,1748,1739,1732,460,1768,1810,1690,1711,1699,-11,36,18,58,28,33,1,134,344,522,595,434,-187,1777,-255,-208,1005,356,-186,1911,89,314,1600,790,30,-25,-113,-33,-10,11
10580,,36095,"Schoharie County, NY",County or equivalent,29715,29758,30147,30059,30140,30235,30176,43,389,-88,81,95,-59,56,263,227,254,209,207,60,363,360,345,319,322,-4,-100,-133,-91,-110,-115,0,1,8,16,14,6,40,499,51,157,193,48,40,500,59,173,207,54,7,-11,-14,-1,-2,2
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,916662,917692,919732,919656,922544,924628,925279,1030,2040,-76,2888,2084,651,2132,8691,8676,8880,8497,8358,2258,9951,10518,9413,9366,9253,-126,-1260,-1842,-533,-869,-895,87,1052,2299,3372,4490,1282,869,1625,-132,174,-1513,287,956,2677,2167,3546,2977,1569,200,623,-401,-125,-24,-23
10740,,35001,"Bernalillo County, NM",County or equivalent,676446,676867,675490,672636,671767,670181,667601,421,-1377,-2854,-869,-1586,-2580,1607,6389,6527,6504,6211,6108,1682,7352,7721,6928,6892,6791,-75,-963,-1194,-424,-681,-683,77,919,2012,2905,3810,1216,231,-1987,-3245,-3209,-4694,-3130,308,-1068,-1233,-304,-884,-1914,188,654,-427,-141,-21,17
10740,,35043,"Sandoval County, NM",County or equivalent,148833,149271,151465,153386,155833,157611,159565,438,2194,1921,2447,1778,1954,308,1317,1211,1365,1271,1257,351,1498,1603,1464,1452,1443,-43,-181,-392,-99,-181,-186,3,50,169,323,448,101,480,2360,2107,2209,1518,2061,483,2410,2276,2532,1966,2162,-2,-35,37,14,-7,-22
10740,,35057,"Torrance County, NM",County or equivalent,15048,15059,15316,15398,15690,15942,16100,11,257,82,292,252,158,31,155,151,153,146,139,34,209,228,191,203,197,-3,-54,-77,-38,-57,-58,1,8,0,0,3,-7,9,315,161,327,303,228,10,323,161,327,306,221,4,-12,-2,3,3,-5
10740,,35061,"Valencia County, NM",County or equivalent,76335,76495,77461,78236,79254,80894,82013,160,966,775,1018,1640,1119,186,830,787,858,869,854,191,892,966,830,819,822,-5,-62,-179,28,50,32,6,75,118,144,229,-28,149,937,845,847,1360,1128,155,1012,963,991,1589,1100,10,16,-9,-1,1,-13
10780,,,"Alexandria, LA",Metropolitan Statistical Area,152189,151805,150904,149065,148419,148043,147952,-384,-901,-1839,-646,-376,-91,466,1919,1823,1857,1775,1698,520,2300,2242,1923,1905,1888,-54,-381,-419,-66,-130,-190,1,50,164,404,642,334,-328,-643,-1593,-974,-885,-238,-327,-593,-1429,-570,-243,96,-3,73,9,-10,-3,3
10780,,22043,"Grant Parish, LA",County or equivalent,22174,22150,22256,22047,21977,22119,22075,-24,106,-209,-70,142,-44,61,291,239,252,221,214,59,289,303,256,253,259,2,2,-64,-4,-32,-45,0,7,34,80,87,38,-31,81,-179,-140,88,-38,-31,88,-145,-60,175,0,5,16,0,-6,-1,1
10780,,22079,"Rapides Parish, LA",County or equivalent,130015,129655,128648,127018,126442,125924,125877,-360,-1007,-1630,-576,-518,-47,405,1628,1584,1605,1554,1484,461,2011,1939,1667,1652,1629,-56,-383,-355,-62,-98,-145,1,43,130,324,555,296,-297,-724,-1414,-834,-973,-200,-296,-681,-1284,-510,-418,96,-8,57,9,-4,-2,2
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,861888,861454,870224,871372,878155,884157,887615,-434,8770,1148,6783,6002,3458,2117,8466,8197,8016,8065,8082,2930,9531,9658,8838,8586,8619,-813,-1065,-1461,-822,-521,-537,53,1011,3494,5889,5799,2698,87,8596,-365,1866,804,1275,140,9607,3129,7755,6603,3973,239,228,-520,-150,-80,22
10900,,34041,"Warren County, NJ",County or equivalent,109630,109431,110580,111018,111651,112424,112953,-199,1149,438,633,773,529,265,1033,1071,1002,1037,1063,439,1112,1257,1140,1115,1116,-174,-79,-186,-138,-78,-53,0,71,300,486,540,181,-48,1106,408,320,323,404,-48,1177,708,806,863,585,23,51,-84,-35,-12,-3
10900,,42025,"Carbon County, PA",County or equivalent,64761,64765,65558,65485,65443,65709,65868,4,793,-73,-42,266,159,139,625,555,534,532,531,221,977,1004,881,855,852,-82,-352,-449,-347,-323,-321,0,5,34,59,38,13,77,1150,365,256,560,470,77,1155,399,315,598,483,9,-10,-23,-10,-9,-3
10900,,42077,"Lehigh County, PA",County or equivalent,374546,374449,375852,376746,380068,382939,384383,-97,1403,894,3322,2871,1444,1009,3991,3882,3752,3750,3749,1209,3925,3840,3653,3514,3539,-200,66,42,99,236,210,46,718,2265,3941,3763,1901,-50,236,-1202,-643,-1101,-688,-4,954,1063,3298,2662,1213,107,383,-211,-75,-27,21
10900,,42095,"Northampton County, PA",County or equivalent,312951,312809,318234,318123,320993,323085,324411,-142,5425,-111,2870,2092,1326,704,2817,2689,2728,2746,2739,1061,3517,3557,3164,3102,3112,-357,-700,-868,-436,-356,-373,7,217,895,1403,1458,603,108,6104,64,1933,1022,1089,115,6321,959,3336,2480,1692,100,-196,-202,-30,-32,7
11020,,,"Altoona, PA",Metropolitan Statistical Area,122824,122667,122147,120774,120360,120051,119541,-157,-520,-1373,-414,-309,-510,288,1151,1172,1142,1121,1120,392,1964,1888,1692,1616,1610,-104,-813,-716,-550,-495,-490,0,17,58,115,111,81,-74,154,-689,52,95,-106,-74,171,-631,167,206,-25,21,122,-26,-31,-20,5
11020,,42013,"Blair County, PA",County or equivalent,122824,122667,122147,120774,120360,120051,119541,-157,-520,-1373,-414,-309,-510,288,1151,1172,1142,1121,1120,392,1964,1888,1692,1616,1610,-104,-813,-716,-550,-495,-490,0,17,58,115,111,81,-74,154,-689,52,95,-106,-74,171,-631,167,206,-25,21,122,-26,-31,-20,5
11100,,,"Amarillo, TX",Metropolitan Statistical Area,268697,269020,269890,270637,272769,274270,276235,323,870,747,2132,1501,1965,815,3229,3397,3377,3334,3389,662,3299,3245,2776,2653,2683,153,-70,152,601,681,706,2,256,795,1015,1261,598,161,739,-316,534,-421,673,163,995,479,1549,840,1271,7,-55,116,-18,-20,-12
11100,,48011,"Armstrong County, TX",County or equivalent,1847,1851,1839,1855,1829,1814,1843,4,-12,16,-26,-15,29,3,22,20,20,23,23,7,39,29,31,27,27,-4,-17,-9,-11,-4,-4,0,0,0,2,3,2,10,5,24,-18,-15,33,10,5,24,-16,-12,35,-2,0,1,1,1,-2
11100,,48065,"Carson County, TX",County or equivalent,5799,5795,5726,5821,5883,5828,5805,-4,-69,95,62,-55,-23,8,48,61,58,48,49,18,88,92,73,67,67,-10,-40,-31,-15,-19,-18,0,0,1,2,4,1,4,-27,119,77,-38,-7,4,-27,120,79,-34,-6,2,-2,6,-2,-2,1
11100,,48359,"Oldham County, TX",County or equivalent,1759,1766,1734,1763,1773,1794,1783,7,-32,29,10,21,-11,7,30,24,21,16,14,4,19,20,23,20,20,3,11,4,-2,-4,-6,0,1,13,9,15,9,3,-41,13,2,10,-15,3,-40,26,11,25,-6,1,-3,-1,1,0,1
11100,,48375,"Potter County, TX",County or equivalent,118622,118353,116607,115110,115291,114551,114453,-269,-1746,-1497,181,-740,-98,391,1486,1592,1549,1534,1566,340,1634,1614,1291,1260,1275,51,-148,-22,258,274,291,2,192,563,750,895,426,-321,-1766,-2131,-807,-1900,-811,-319,-1574,-1568,-57,-1005,-385,-1,-24,93,-20,-9,-4
11100,,48381,"Randall County, TX",County or equivalent,140670,141255,143984,146088,147993,150283,152351,585,2729,2104,1905,2290,2068,406,1643,1700,1729,1713,1737,293,1519,1490,1358,1279,1294,113,124,210,371,434,443,0,63,218,252,344,160,465,2568,1659,1280,1522,1473,465,2631,1877,1532,1866,1633,7,-26,17,2,-10,-8
11180,,,"Ames, IA",Metropolitan Statistical Area,125256,125363,126451,126431,127602,128145,128090,107,1088,-20,1171,543,-55,257,1038,1096,1089,1060,1058,194,948,1018,964,931,963,63,90,78,125,129,95,16,280,519,724,689,493,-15,615,-567,346,-278,-645,1,895,-48,1070,411,-152,43,103,-50,-24,3,2
11180,,19015,"Boone County, IA",County or equivalent,26715,26705,26776,26574,26581,26727,26799,-10,71,-202,7,146,72,59,263,262,262,251,253,76,345,358,336,316,327,-17,-82,-96,-74,-65,-74,0,2,0,-1,6,-1,-1,138,-92,89,207,147,-1,140,-92,88,213,146,8,13,-14,-7,-2,0
11180,,19169,"Story County, IA",County or equivalent,98541,98658,99675,99857,101021,101418,101291,117,1017,182,1164,397,-127,198,775,834,827,809,805,118,603,660,628,615,636,80,172,174,199,194,169,16,278,519,725,683,494,-14,477,-475,257,-485,-792,2,755,44,982,198,-298,35,90,-36,-17,5,2
11200,,,"Amherst Town-Northampton, MA",Metropolitan Statistical Area,162315,148597,165218,165193,165217,164679,164065,-13718,16621,-25,24,-538,-614,254,890,944,896,871,878,453,1357,1452,1402,1390,1369,-199,-467,-508,-506,-519,-491,6,278,782,663,725,574,-10761,18410,-209,-97,-749,-698,-10755,18688,573,566,-24,-124,-2764,-1600,-90,-36,5,1
11200,,25015,"Hampshire County, MA",County or equivalent,162315,148597,165218,165193,165217,164679,164065,-13718,16621,-25,24,-538,-614,254,890,944,896,871,878,453,1357,1452,1402,1390,1369,-199,-467,-508,-506,-519,-491,6,278,782,663,725,574,-10761,18410,-209,-97,-749,-698,-10755,18688,573,566,-24,-124,-2764,-1600,-90,-36,5,1
11260,,,"Anchorage, AK",Metropolitan Statistical Area,398315,398391,399915,400401,401959,404623,405821,76,1524,486,1558,2664,1198,1307,5002,4978,4959,4893,4895,654,2968,3562,3065,3107,3040,653,2034,1416,1894,1786,1855,46,563,1166,1471,1537,1174,-635,-922,-2153,-1820,-669,-1833,-589,-359,-987,-349,868,-659,12,-151,57,13,10,2
11260,,02020,"Anchorage Municipality, AK",County or equivalent,291242,290877,288923,286992,286771,287369,287155,-365,-1954,-1931,-221,598,-214,968,3687,3596,3582,3552,3572,488,2154,2561,2215,2265,2207,480,1533,1035,1367,1287,1365,45,525,1112,1424,1451,1136,-886,-3977,-4072,-3022,-2153,-2717,-841,-3452,-2960,-1598,-702,-1581,-4,-35,-6,10,13,2
11260,,02170,"Matanuska-Susitna Borough, AK",County or equivalent,107073,107514,110992,113409,115188,117254,118666,441,3478,2417,1779,2066,1412,339,1315,1382,1377,1341,1323,166,814,1001,850,842,833,173,501,381,527,499,490,1,38,54,47,86,38,251,3055,1919,1202,1484,884,252,3093,1973,1249,1570,922,16,-116,63,3,-3,0
11460,,,"Ann Arbor, MI",Metropolitan Statistical Area,372265,371814,364941,367307,367845,368956,370214,-451,-6873,2366,538,1111,1258,869,3118,3330,3129,3112,3127,732,2654,2650,2574,2557,2578,137,464,680,555,555,549,21,636,2412,3624,4237,3150,-633,-7533,-460,-3677,-3712,-2446,-612,-6897,1952,-53,525,704,24,-440,-266,36,31,5
11460,,26161,"Washtenaw County, MI",County or equivalent,372265,371814,364941,367307,367845,368956,370214,-451,-6873,2366,538,1111,1258,869,3118,3330,3129,3112,3127,732,2654,2650,2574,2557,2578,137,464,680,555,555,549,21,636,2412,3624,4237,3150,-633,-7533,-460,-3677,-3712,-2446,-612,-6897,1952,-53,525,704,24,-440,-266,36,31,5
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,116439,116238,115640,115738,116341,116303,115834,-201,-598,98,603,-38,-469,310,1262,1361,1323,1247,1247,399,1855,1925,1686,1689,1689,-89,-593,-564,-363,-442,-442,0,12,51,79,155,37,-120,-123,655,893,261,-69,-120,-111,706,972,416,-32,8,106,-44,-6,-12,5
11500,,01015,"Calhoun County, AL",County or equivalent,116439,116238,115640,115738,116341,116303,115834,-201,-598,98,603,-38,-469,310,1262,1361,1323,1247,1247,399,1855,1925,1686,1689,1689,-89,-593,-564,-363,-442,-442,0,12,51,79,155,37,-120,-123,655,893,261,-69,-120,-111,706,972,416,-32,8,106,-44,-6,-12,5
11540,,,"Appleton, WI",Metropolitan Statistical Area,243140,243434,243962,245305,247042,248549,249876,294,528,1343,1737,1507,1327,653,2495,2594,2454,2409,2404,469,2178,2164,2011,2021,2033,184,317,430,443,388,371,0,58,519,534,537,173,36,-52,578,798,598,769,36,6,1097,1332,1135,942,74,205,-184,-38,-16,14
11540,,55015,"Calumet County, WI",County or equivalent,52440,52475,52576,52795,53414,53764,53982,35,101,219,619,350,218,112,449,443,473,428,429,90,421,404,370,347,354,22,28,39,103,81,75,0,4,124,123,142,24,2,17,93,407,128,118,2,21,217,530,270,142,11,52,-37,-14,-1,1
11540,,55087,"Outagamie County, WI",County or equivalent,190700,190959,191386,192510,193628,194785,195894,259,427,1124,1118,1157,1109,541,2046,2151,1981,1981,1975,379,1757,1760,1641,1674,1679,162,289,391,340,307,296,0,54,395,411,395,149,34,-69,485,391,470,651,34,-15,880,802,865,800,63,153,-147,-24,-15,13
11700,,,"Asheville, NC",Metropolitan Statistical Area,406934,407559,410956,414264,418150,422979,422345,625,3397,3308,3886,4829,-634,877,3535,3646,3614,3632,3719,1199,4961,5205,4873,4771,4776,-322,-1426,-1559,-1259,-1139,-1057,7,218,807,1392,2461,1171,949,4626,3985,3695,3465,-734,956,4844,4792,5087,5926,437,-9,-21,75,58,42,-14
11700,,37021,"Buncombe County, NC",County or equivalent,269430,269703,272030,274019,276463,279227,277417,273,2327,1989,2444,2764,-1810,582,2370,2447,2374,2422,2479,734,3101,3188,2994,2971,2969,-152,-731,-741,-620,-549,-490,7,182,661,927,1533,754,376,2870,2067,2111,1768,-2056,383,3052,2728,3038,3301,-1302,42,6,2,26,12,-18
11700,,37089,"Henderson County, NC",County or equivalent,116303,116564,117187,118337,119643,121286,122375,261,623,1150,1306,1643,1089,249,980,1011,1039,1010,1038,408,1567,1716,1569,1507,1505,-159,-587,-705,-530,-497,-467,0,26,128,450,915,409,457,1185,1667,1354,1202,1145,457,1211,1795,1804,2117,1554,-37,-1,60,32,23,2
11700,,37115,"Madison County, NC",County or equivalent,21201,21292,21739,21908,22044,22466,22553,91,447,169,136,422,87,46,185,188,201,200,202,57,293,301,310,293,302,-11,-108,-113,-109,-93,-100,0,10,18,15,13,8,116,571,251,230,495,177,116,581,269,245,508,185,-14,-26,13,0,7,2
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,215396,215734,218340,220641,222651,224159,224148,338,2606,2301,2010,1508,-11,526,2149,2229,2230,2257,2271,394,1797,1953,1820,1820,1831,132,352,276,410,437,440,3,192,684,873,1582,922,176,2004,1415,751,-501,-1346,179,2196,2099,1624,1081,-424,27,58,-74,-24,-10,-27
12020,,13059,"Clarke County, GA",County or equivalent,128670,128595,129248,130067,130531,130750,129921,-75,653,819,464,219,-829,329,1339,1290,1351,1371,1383,199,902,970,933,903,906,130,437,320,418,468,477,2,162,612,740,1364,803,-236,-49,-34,-663,-1608,-2084,-234,113,578,77,-244,-1281,29,103,-79,-31,-5,-25
12020,,13195,"Madison County, GA",County or equivalent,30116,30266,30883,31450,32265,32767,32919,150,617,567,815,502,152,86,362,420,406,413,413,72,377,420,353,374,379,14,-15,0,53,39,34,0,6,7,53,92,50,140,644,537,697,368,63,140,650,544,750,460,113,-4,-18,23,12,3,5
12020,,13219,"Oconee County, GA",County or equivalent,41783,42004,43030,43622,44114,44524,44893,221,1026,592,492,410,369,80,321,358,326,320,322,80,347,360,365,370,370,0,-26,-2,-39,-50,-48,1,18,61,57,81,58,215,1051,560,482,387,363,216,1069,621,539,468,421,5,-17,-27,-8,-8,-4
12020,,13221,"Oglethorpe County, GA",County or equivalent,14827,14869,15179,15502,15741,16118,16415,42,310,323,239,377,297,31,127,161,147,153,153,43,171,203,169,173,176,-12,-44,-42,-22,-20,-23,0,6,4,23,45,11,57,358,352,235,352,312,57,364,356,258,397,323,-3,-10,9,3,0,-3
12060,,,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,6106816,6120770,6160335,6250876,6333350,6420229,6482182,13954,39565,90541,82474,86879,61953,16852,68161,71118,71340,71057,71442,11695,50821,51240,46054,45896,45973,5157,17340,19878,25286,25161,25469,594,8386,34380,40841,63739,33399,7305,13146,37260,16162,-2252,3019,7899,21532,71640,57003,61487,36418,898,693,-977,185,231,66
12060,12054,,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Division,4766683,4777394,4803377,4872710,4934844,4999054,5044702,10711,25983,69333,62134,64210,45648,13300,53621,55806,55739,55601,55928,9159,40069,40131,36170,35969,36078,4141,13552,15675,19569,19632,19850,504,6860,27384,32798,51202,27000,5329,5057,26976,9685,-6745,-1220,5833,11917,54360,42483,44457,25780,737,514,-702,82,121,18
12060,12054,13013,"Barrow County, GA",County or equivalent,83575,84066,86864,89551,93390,96969,99773,491,2798,2687,3839,3579,2804,258,1143,1179,1287,1321,1328,182,822,877,803,818,824,76,321,302,484,503,504,0,49,221,290,463,147,435,2537,2045,2999,2591,2167,435,2586,2266,3289,3054,2314,-20,-109,119,66,22,-14
12060,12054,13035,"Butts County, GA",County or equivalent,25432,25549,26201,26756,26898,27140,27218,117,652,555,142,242,78,74,296,290,292,277,277,94,334,373,339,323,327,-20,-38,-83,-47,-46,-50,0,10,26,16,22,-4,147,717,578,172,267,130,147,727,604,188,289,126,-10,-37,34,1,-1,2
12060,12054,13045,"Carroll County, GA",County or equivalent,119132,119394,121007,124002,126783,129493,131036,262,1613,2995,2781,2710,1543,415,1575,1588,1651,1608,1621,323,1436,1513,1337,1398,1409,92,139,75,314,210,212,0,36,253,384,648,245,128,1391,2567,2051,1837,1087,128,1427,2820,2435,2485,1332,42,47,100,32,15,-1
