cbsa_code,metric,period,value
10100,domestic_migration,2011,48
10100,domestic_migration,2012,370
10100,domestic_migration,2013,423
10100,domestic_migration,2014,-112
10100,domestic_migration,2015,4
10100,domestic_migration,2016,79
10100,domestic_migration,2017,-6
10100,domestic_migration,2018,-431
10100,domestic_migration,2019,-506
10100,domestic_migration,2021,-120
10100,domestic_migration,2022,-251
10100,domestic_migration,2023,-307
10100,domestic_migration,2024,-184
10100,domestic_migration,2025,-141
10100,domestic_migration_rate,2011,1.172
10100,domestic_migration_rate,2012,8.899
10100,domestic_migration_rate,2013,10.033
10100,domestic_migration_rate,2014,-2.653
10100,domestic_migration_rate,2015,0.094
10100,domestic_migration_rate,2016,1.844
10100,domestic_migration_rate,2017,-0.139
10100,domestic_migration_rate,2018,-10.021
10100,domestic_migration_rate,2019,-11.859
10100,domestic_migration_rate,2021,-2.846
10100,domestic_migration_rate,2022,-5.971
10100,domestic_migration_rate,2023,-7.359
10100,domestic_migration_rate,2024,-4.418
10100,domestic_migration_rate,2025,-3.391
10100,natural_change,2011,116
10100,natural_change,2012,58
10100,natural_change,2013,135
10100,natural_change,2014,116
10100,natural_change,2015,99
10100,natural_change,2016,168
10100,natural_change,2017,169
10100,natural_change,2018,160
10100,natural_change,2019,143
10100,natural_change,2021,-16
10100,natural_change,2022,16
10100,natural_change,2023,-51
10100,natural_change,2024,13
10100,natural_change,2025,21
10100,net_migration,2011,135
10100,net_migration,2012,544
10100,net_migration,2013,441
10100,net_migration,2014,-49
10100,net_migration,2015,78
10100,net_migration,2016,278
10100,net_migration,2017,199
10100,net_migration,2018,-354
10100,net_migration,2019,-485
10100,net_migration,2021,-58
10100,net_migration,2022,-140
10100,net_migration,2023,-260
10100,net_migration,2024,-80
10100,net_migration,2025,-95
10100,pop_estimate,2010,40718
10100,pop_estimate,2011,40966
10100,pop_estimate,2012,41580
10100,pop_estimate,2013,42159
10100,pop_estimate,2014,42224
10100,pop_estimate,2015,42396
10100,pop_estimate,2016,42839
10100,pop_estimate,2017,43205
10100,pop_estimate,2018,43011
10100,pop_estimate,2019,42668
10100,pop_estimate,2020,42212
10100,pop_estimate,2021,42164
10100,pop_estimate,2022,42033
10100,pop_estimate,2023,41720
10100,pop_estimate,2024,41652
10100,pop_estimate,2025,41583
10140,domestic_migration,2011,-546
10140,domestic_migration,2012,-657
10140,domestic_migration,2013,-712
10140,domestic_migration,2014,-216
10140,domestic_migration,2015,267
10140,domestic_migration,2016,587
10140,domestic_migration,2017,1075
10140,domestic_migration,2018,1457
10140,domestic_migration,2019,1423
10140,domestic_migration,2021,1369
10140,domestic_migration,2022,635
10140,domestic_migration,2023,731
10140,domestic_migration,2024,502
10140,domestic_migration,2025,336
10140,domestic_migration_rate,2011,-7.545
10140,domestic_migration_rate,2012,-9.154
10140,domestic_migration_rate,2013,-10.022
10140,domestic_migration_rate,2014,-3.052
10140,domestic_migration_rate,2015,3.76
10140,domestic_migration_rate,2016,8.206
10140,domestic_migration_rate,2017,14.83
10140,domestic_migration_rate,2018,19.742
10140,domestic_migration_rate,2019,18.958
10140,domestic_migration_rate,2021,17.805
10140,domestic_migration_rate,2022,8.235
10140,domestic_migration_rate,2023,9.422
10140,domestic_migration_rate,2024,6.434
10140,domestic_migration_rate,2025,4.3
10140,natural_change,2011,30
10140,natural_change,2012,33
10140,natural_change,2013,-49
10140,natural_change,2014,-56
10140,natural_change,2015,-32
10140,natural_change,2016,-58
10140,natural_change,2017,-108
10140,natural_change,2018,-135
10140,natural_change,2019,-152
10140,natural_change,2021,-320
10140,natural_change,2022,-463
10140,natural_change,2023,-463
10140,natural_change,2024,-367
10140,natural_change,2025,-364
10140,net_migration,2011,-512
10140,net_migration,2012,-634
10140,net_migration,2013,-687
10140,net_migration,2014,-204
10140,net_migration,2015,269
10140,net_migration,2016,579
10140,net_migration,2017,1063
10140,net_migration,2018,1441
10140,net_migration,2019,1407
10140,net_migration,2021,1380
10140,net_migration,2022,673
10140,net_migration,2023,940
10140,net_migration,2024,806
10140,net_migration,2025,488
10140,pop_estimate,2010,72848
10140,pop_estimate,2011,72366
10140,pop_estimate,2012,71773
10140,pop_estimate,2013,71046
10140,pop_estimate,2014,70780
10140,pop_estimate,2015,71011
10140,pop_estimate,2016,71531
10140,pop_estimate,2017,72490
10140,pop_estimate,2018,73801
10140,pop_estimate,2019,75061
10140,pop_estimate,2020,75866
10140,pop_estimate,2021,76889
10140,pop_estimate,2022,77108
10140,pop_estimate,2023,77582
10140,pop_estimate,2024,78020
10140,pop_estimate,2025,78144
10180,domestic_migration,2011,64
10180,domestic_migration,2012,-461
10180,domestic_migration,2013,-1050
10180,domestic_migration,2014,-310
10180,domestic_migration,2015,159
10180,domestic_migration,2016,-710
10180,domestic_migration,2017,-593
10180,domestic_migration,2018,-49
10180,domestic_migration,2019,90
10180,domestic_migration,2021,1022
10180,domestic_migration,2022,1361
10180,domestic_migration,2023,1482
10180,domestic_migration,2024,178
10180,domestic_migration,2025,887
10180,domestic_migration_rate,2011,0.384
10180,domestic_migration_rate,2012,-2.753
10180,domestic_migration_rate,2013,-6.27
10180,domestic_migration_rate,2014,-1.841
10180,domestic_migration_rate,2015,0.937
10180,domestic_migration_rate,2016,-4.176
10180,domestic_migration_rate,2017,-3.479
10180,domestic_migration_rate,2018,-0.286
10180,domestic_migration_rate,2019,0.523
10180,domestic_migration_rate,2021,5.743
10180,domestic_migration_rate,2022,7.563
10180,domestic_migration_rate,2023,8.121
10180,domestic_migration_rate,2024,0.969
10180,domestic_migration_rate,2025,4.784
10180,natural_change,2011,789
10180,natural_change,2012,768
10180,natural_change,2013,700
10180,natural_change,2014,785
10180,natural_change,2015,710
10180,natural_change,2016,659
10180,natural_change,2017,696
10180,natural_change,2018,586
10180,natural_change,2019,609
10180,natural_change,2021,-196
10180,natural_change,2022,79
10180,natural_change,2023,327
10180,natural_change,2024,305
10180,natural_change,2025,286
10180,net_migration,2011,263
10180,net_migration,2012,49
10180,net_migration,2013,-692
10180,net_migration,2014,106
10180,net_migration,2015,653
10180,net_migration,2016,-326
10180,net_migration,2017,-279
10180,net_migration,2018,139
10180,net_migration,2019,310
10180,net_migration,2021,1166
10180,net_migration,2022,1954
10180,net_migration,2023,2215
10180,net_migration,2024,930
10180,net_migration,2025,1413
10180,pop_estimate,2010,165585
10180,pop_estimate,2011,166634
10180,pop_estimate,2012,167442
10180,pop_estimate,2013,167473
10180,pop_estimate,2014,168342
10180,pop_estimate,2015,169688
10180,pop_estimate,2016,170017
10180,pop_estimate,2017,170429
10180,pop_estimate,2018,171150
10180,pop_estimate,2019,172060
10180,pop_estimate,2020,176899
10180,pop_estimate,2021,177942
10180,pop_estimate,2022,179949
10180,pop_estimate,2023,182493
10180,pop_estimate,2024,183719
10180,pop_estimate,2025,185429
10220,domestic_migration,2011,26
10220,domestic_migration,2012,133
10220,domestic_migration,2013,-49
10220,domestic_migration,2014,-78
10220,domestic_migration,2015,-87
10220,domestic_migration,2016,43
10220,domestic_migration,2017,-267
10220,domestic_migration,2018,-166
10220,domestic_migration,2019,-6
10220,domestic_migration,2021,117
10220,domestic_migration,2022,-9
10220,domestic_migration,2023,430
10220,domestic_migration,2024,-198
10220,domestic_migration,2025,191
10220,domestic_migration_rate,2011,0.689
10220,domestic_migration_rate,2012,3.494
