cbsa_code,metric,period,value
10100,inventory,2018,251.9
10100,inventory,2019,221.0833
10100,inventory,2020,176.8333
10100,inventory,2021,136.0833
10100,inventory,2022,116.8333
10100,inventory,2023,111.9167
10100,inventory,2024,133.5833
10100,inventory,2025,152.3333
10100,inventory,2026,131.4286
10100,inventory,2026-07,136.0
10140,inventory,2018,566.6
10140,inventory,2019,474.5833
10140,inventory,2020,330.1667
10140,inventory,2021,400.1667
10140,inventory,2022,557.1667
10140,inventory,2023,514.4167
10140,inventory,2024,439.0833
10140,inventory,2025,571.8333
10140,inventory,2026,595.2857
10140,inventory,2026-07,763.0
10180,inventory,2018,952.6
10180,inventory,2019,881.75
10180,inventory,2020,827.75
10180,inventory,2021,616.5
10180,inventory,2022,598.25
10180,inventory,2023,689.5833
10180,inventory,2024,872.8333
10180,inventory,2025,869.25
10180,inventory,2026,549.0
10180,inventory,2026-07,557.0
10220,inventory,2018,276.1
10220,inventory,2019,228.3333
10220,inventory,2020,180.75
10220,inventory,2021,136.5833
10220,inventory,2022,126.0833
10220,inventory,2023,144.1667
10220,inventory,2024,149.3333
10220,inventory,2025,176.6667
10220,inventory,2026,163.8571
10220,inventory,2026-07,169.0
10300,inventory,2018,495.1
10300,inventory,2019,505.25
10300,inventory,2020,409.75
10300,inventory,2021,353.1667
10300,inventory,2022,363.75
10300,inventory,2023,301.9167
10300,inventory,2024,335.3333
10300,inventory,2025,319.0833
10300,inventory,2026,287.5714
10300,inventory,2026-07,358.0
10420,inventory,2018,3645.9
10420,inventory,2019,3240.75
10420,inventory,2020,2573.75
10420,inventory,2021,1832.6667
10420,inventory,2022,1747.0833
10420,inventory,2023,1519.8333
10420,inventory,2024,1499.75
10420,inventory,2025,1698.5833
10420,inventory,2026,1657.4286
10420,inventory,2026-07,2097.0
10460,inventory,2018,646.4
10460,inventory,2019,568.0833
10460,inventory,2020,399.6667
10460,inventory,2021,258.5
10460,inventory,2022,228.1667
10460,inventory,2023,205.1667
10460,inventory,2024,272.3333
10460,inventory,2025,358.9167
10460,inventory,2026,358.7143
10460,inventory,2026-07,396.0
10500,inventory,2018,778.8
10500,inventory,2019,737.3333
10500,inventory,2020,573.0833
10500,inventory,2021,411.25
10500,inventory,2022,372.8333
10500,inventory,2023,315.4167
10500,inventory,2024,436.75
10500,inventory,2025,512.5833
10500,inventory,2026,534.2857
10500,inventory,2026-07,572.0
10540,inventory,2018,578.1
10540,inventory,2019,547.6667
10540,inventory,2020,467.1667
10540,inventory,2021,340.9167
10540,inventory,2022,330.5
10540,inventory,2023,325.5833
10540,inventory,2024,349.0
10540,inventory,2025,413.0833
10540,inventory,2026,414.1429
10540,inventory,2026-07,474.0
10580,inventory,2018,3011.2
10580,inventory,2019,2786.1667
10580,inventory,2020,1947.1667
10580,inventory,2021,2263.5833
10580,inventory,2022,2182.0
10580,inventory,2023,1726.9167
10580,inventory,2024,1547.6667
10580,inventory,2025,1578.4167
10580,inventory,2026,1422.7143
10580,inventory,2026-07,1902.0
10620,inventory,2018,246.6
10620,inventory,2019,223.1667
10620,inventory,2020,168.1667
10620,inventory,2021,167.25
10620,inventory,2022,189.6667
10620,inventory,2023,220.0833
10620,inventory,2024,228.3333
10620,inventory,2025,290.8333
10620,inventory,2026,292.0
10620,inventory,2026-07,329.0
10660,inventory,2018,125.7
10660,inventory,2019,135.25
10660,inventory,2020,128.5833
10660,inventory,2021,77.6667
10660,inventory,2022,84.1667
10660,inventory,2023,83.75
10660,inventory,2024,92.5833
10660,inventory,2025,117.3333
10660,inventory,2026,127.4286
10660,inventory,2026-07,152.0
10700,inventory,2018,581.3
10700,inventory,2019,490.0
10700,inventory,2020,405.4167
10700,inventory,2021,278.1667
10700,inventory,2022,282.5
10700,inventory,2023,304.1667
10700,inventory,2024,401.3333
10700,inventory,2025,467.0833
10700,inventory,2026,514.7143
10700,inventory,2026-07,575.0
10740,inventory,2018,4357.0
10740,inventory,2019,3693.8333
10740,inventory,2020,2740.0833
10740,inventory,2021,2119.8333
10740,inventory,2022,1890.4167
10740,inventory,2023,1828.6667
10740,inventory,2024,2220.3333
10740,inventory,2025,2657.5
10740,inventory,2026,2545.0
