arm,series,seed,validation loss,epoch,mae 1q,mae 2q,mae 4q,mae 8q,scored,fitted
"thirteen, all four",13,20260915,0.01246,7,1.641,2.975,4.777,6.14,13120,222150
"thirteen, all four",13,20260916,0.012493,7,1.644,2.979,4.782,6.157,13120,222150
"thirteen, all four",13,20260917,0.012471,7,1.642,2.979,4.777,6.142,13120,222150
"thirteen, all four",13,20260918,0.012444,7,1.64,2.973,4.773,6.132,13120,222150
"thirteen, all four",13,20260919,0.012459,7,1.641,2.976,4.775,6.136,13120,222150
"twelve, without zori_yoy",12,20260915,0.01245,7,1.643,2.975,4.77,6.136,13120,222150
"twelve, without zori_yoy",12,20260916,0.012486,7,1.645,2.98,4.781,6.143,13120,222150
"twelve, without zori_yoy",12,20260917,0.012448,7,1.643,2.978,4.77,6.12,13120,222150
"twelve, without zori_yoy",12,20260918,0.012443,7,1.642,2.975,4.77,6.132,13120,222150
"twelve, without zori_yoy",12,20260919,0.012459,7,1.643,2.974,4.771,6.137,13120,222150
"twelve, without listing_price_yoy",12,20260915,0.012448,7,1.641,2.974,4.773,6.139,13120,222150
"twelve, without listing_price_yoy",12,20260916,0.012487,7,1.643,2.978,4.782,6.15,13120,222150
"twelve, without listing_price_yoy",12,20260917,0.012454,7,1.641,2.975,4.774,6.132,13120,222150
"twelve, without listing_price_yoy",12,20260918,0.012448,7,1.639,2.974,4.772,6.141,13120,222150
"twelve, without listing_price_yoy",12,20260919,0.012465,7,1.641,2.975,4.775,6.142,13120,222150
"twelve, without permits_per_1000",12,20260915,0.012472,7,1.647,2.985,4.78,6.154,13120,222150
"twelve, without permits_per_1000",12,20260916,0.012519,7,1.651,2.993,4.794,6.176,13120,222150
"twelve, without permits_per_1000",12,20260917,0.012473,7,1.648,2.986,4.781,6.154,13120,222150
"twelve, without permits_per_1000",12,20260918,0.012468,7,1.647,2.985,4.779,6.158,13120,222150
"twelve, without permits_per_1000",12,20260919,0.012489,7,1.649,2.99,4.79,6.161,13120,222150
"twelve, without income_growth",12,20260915,0.012504,7,1.646,2.987,4.788,6.177,13120,222150
"twelve, without income_growth",12,20260916,0.012552,7,1.649,2.996,4.801,6.2,13120,222150
"twelve, without income_growth",12,20260917,0.01251,7,1.646,2.988,4.791,6.181,13120,222150
"twelve, without income_growth",12,20260918,0.012515,7,1.648,2.99,4.792,6.184,13120,222150
"twelve, without income_growth",12,20260919,0.012539,7,1.649,2.994,4.804,6.196,13120,222150
"nine, none of the four",9,20260915,0.012593,7,1.66,3.007,4.81,6.234,13120,222150
"nine, none of the four",9,20260916,0.012624,7,1.663,3.015,4.822,6.244,13120,222150
"nine, none of the four",9,20260917,0.0126,7,1.661,3.012,4.814,6.235,13120,222150
"nine, none of the four",9,20260918,0.012588,7,1.66,3.008,4.807,6.237,13120,222150
"nine, none of the four",9,20260919,0.012601,7,1.661,3.008,4.814,6.232,13120,222150
