arm,series,seed,validation loss,epoch,mae 1q,mae 2q,mae 4q,mae 8q,scored,fitted
"eleven, without zori and listings",11,20260915,0.01246,7,1.644,2.979,4.77,6.134,13120,222150
"eleven, without zori and listings",11,20260916,0.012498,7,1.646,2.984,4.785,6.147,13120,222150
"eleven, without zori and listings",11,20260917,0.012463,7,1.644,2.981,4.773,6.131,13120,222150
"eleven, without zori and listings",11,20260918,0.012449,7,1.643,2.974,4.776,6.125,13120,222150
"eleven, without zori and listings",11,20260919,0.012455,7,1.644,2.976,4.775,6.127,13120,222150
"eleven, without permits and income",11,20260915,0.012563,7,1.656,3.001,4.804,6.223,13120,222150
"eleven, without permits and income",11,20260916,0.012597,7,1.659,3.009,4.813,6.249,13120,222150
"eleven, without permits and income",11,20260917,0.012569,7,1.657,3.005,4.801,6.228,13120,222150
"eleven, without permits and income",11,20260918,0.012549,7,1.656,3.0,4.797,6.221,13120,222150
"eleven, without permits and income",11,20260919,0.012573,7,1.657,3.002,4.808,6.229,13120,222150
