model,horizon,n_cal,margin,crossed
no_change,1,6560,0.014172917808432925,0
no_change,2,6560,0.029721015065989932,0
no_change,4,6560,0.036137120733193084,0
no_change,8,6560,0.007891830703344205,0
momentum,1,6560,0.007229069876852186,0
momentum,2,6560,0.017848303655876863,0
momentum,4,6560,0.03752064854869719,0
momentum,8,6560,0.008627110740854427,0
metro_mean,1,6560,0.016307074552075612,0
metro_mean,2,6560,0.03454268750747764,0
metro_mean,4,6560,0.0483586681792553,0
metro_mean,8,6560,0.02786094965948721,0
ridge,1,6560,0.004562091023892698,0
ridge,2,6560,0.01875898565275183,0
ridge,4,6560,0.03418952267042574,0
ridge,8,6560,0.012000098479311161,0
gbm,1,6560,0.007152838593029849,0
gbm,2,6560,0.014704745392859216,0
gbm,4,6560,0.03659683995152316,0
gbm,8,6560,0.03579251875177428,0
