cbsa_code,metric,period,value
10180,hpi_forecast_4q,2026-06,5.9365
10180,hpi_forecast_4q_hi,2026-06,17.0937
10180,hpi_forecast_4q_lo,2026-06,-3.5886
10180,hpi_forecast_8q,2026-06,12.4994
10180,hpi_forecast_8q_hi,2026-06,37.4547
10180,hpi_forecast_8q_lo,2026-06,-6.1846
10180,hpi_surprise_4q,2026-06,4.9813
10180,hpi_trend_5y,2026-06,7.9106
10180,hpi_yoy_latest,2026-06,8.9516
10420,hpi_forecast_4q,2026-06,4.9122
10420,hpi_forecast_4q_hi,2026-06,15.6278
10420,hpi_forecast_4q_lo,2026-06,-4.4272
10420,hpi_forecast_8q,2026-06,10.8069
10420,hpi_forecast_8q_hi,2026-06,34.0876
10420,hpi_forecast_8q_lo,2026-06,-7.0348
10420,hpi_surprise_4q,2026-06,-2.3045
10420,hpi_trend_5y,2026-06,7.8998
10420,hpi_yoy_latest,2026-06,3.2297
10500,hpi_forecast_4q,2026-06,4.5524
10500,hpi_forecast_4q_hi,2026-06,15.1954
10500,hpi_forecast_4q_lo,2026-06,-4.7562
10500,hpi_forecast_8q,2026-06,10.081
10500,hpi_forecast_8q_hi,2026-06,33.1105
10500,hpi_forecast_8q_lo,2026-06,-7.601
10500,hpi_surprise_4q,2026-06,-5.5507
10500,hpi_trend_5y,2026-06,8.1822
10500,hpi_yoy_latest,2026-06,0.5512
10540,hpi_forecast_4q,2026-06,3.4599
10540,hpi_forecast_4q_hi,2026-06,13.843
10540,hpi_forecast_4q_lo,2026-06,-5.801
10540,hpi_forecast_8q,2026-06,8.252
10540,hpi_forecast_8q_hi,2026-06,30.717
10540,hpi_forecast_8q_lo,2026-06,-9.2176
10540,hpi_surprise_4q,2026-06,-5.366
10540,hpi_trend_5y,2026-06,5.2423
10540,hpi_yoy_latest,2026-06,-0.8086
10580,hpi_forecast_4q,2026-06,5.9661
10580,hpi_forecast_4q_hi,2026-06,17.085
10580,hpi_forecast_4q_lo,2026-06,-3.5231
10580,hpi_forecast_8q,2026-06,12.6951
10580,hpi_forecast_8q_hi,2026-06,37.2887
10580,hpi_forecast_8q_lo,2026-06,-5.8064
10580,hpi_surprise_4q,2026-06,1.4271
10580,hpi_trend_5y,2026-06,8.5983
10580,hpi_yoy_latest,2026-06,6.9633
10740,hpi_forecast_4q,2026-06,4.3367
10740,hpi_forecast_4q_hi,2026-06,15.0095
10740,hpi_forecast_4q_lo,2026-06,-5.0209
10740,hpi_forecast_8q,2026-06,9.4784
10740,hpi_forecast_8q_hi,2026-06,32.6443
10740,hpi_forecast_8q_lo,2026-06,-8.3458
10740,hpi_surprise_4q,2026-06,-2.4957
10740,hpi_trend_5y,2026-06,7.6623
10740,hpi_yoy_latest,2026-06,2.1774
10780,hpi_forecast_4q,2026-06,4.8877
10780,hpi_forecast_4q_hi,2026-06,15.6522
10780,hpi_forecast_4q_lo,2026-06,-4.4666
10780,hpi_forecast_8q,2026-06,10.6563
10780,hpi_forecast_8q_hi,2026-06,34.0935
10780,hpi_forecast_8q_lo,2026-06,-7.2487
10780,hpi_surprise_4q,2026-06,1.7312
10780,hpi_trend_5y,2026-06,5.0071
10780,hpi_yoy_latest,2026-06,4.8313
10900,hpi_forecast_4q,2026-06,5.6783
10900,hpi_forecast_4q_hi,2026-06,16.6209
10900,hpi_forecast_4q_lo,2026-06,-3.7145
10900,hpi_forecast_8q,2026-06,12.3121
10900,hpi_forecast_8q_hi,2026-06,36.4509
10900,hpi_forecast_8q_lo,2026-06,-5.8968
10900,hpi_surprise_4q,2026-06,-0.7399
10900,hpi_trend_5y,2026-06,8.9551
10900,hpi_yoy_latest,2026-06,4.9478
11020,hpi_forecast_4q,2026-06,6.1997
11020,hpi_forecast_4q_hi,2026-06,17.2242
11020,hpi_forecast_4q_lo,2026-06,-3.2009
11020,hpi_forecast_8q,2026-06,13.1637
11020,hpi_forecast_8q_hi,2026-06,37.3294
11020,hpi_forecast_8q_lo,2026-06,-5.0265
11020,hpi_surprise_4q,2026-06,3.401
11020,hpi_trend_5y,2026-06,6.6543
11020,hpi_yoy_latest,2026-06,8.0701
11100,hpi_forecast_4q,2026-06,4.5903
11100,hpi_forecast_4q_hi,2026-06,15.3231
11100,hpi_forecast_4q_lo,2026-06,-4.7688
11100,hpi_forecast_8q,2026-06,10.2311
11100,hpi_forecast_8q_hi,2026-06,33.9176
11100,hpi_forecast_8q_lo,2026-06,-7.7655
11100,hpi_surprise_4q,2026-06,-0.3185
11100,hpi_trend_5y,2026-06,6.0237
11100,hpi_yoy_latest,2026-06,3.1042
11180,hpi_forecast_4q,2026-06,4.8361
11180,hpi_forecast_4q_hi,2026-06,15.5049
11180,hpi_forecast_4q_lo,2026-06,-4.4565
11180,hpi_forecast_8q,2026-06,10.6369
11180,hpi_forecast_8q_hi,2026-06,33.8297
11180,hpi_forecast_8q_lo,2026-06,-7.0842
11180,hpi_surprise_4q,2026-06,2.1703
11180,hpi_trend_5y,2026-06,6.5658
11180,hpi_yoy_latest,2026-06,5.5783
11200,hpi_forecast_4q,2026-06,4.7233
11200,hpi_forecast_4q_hi,2026-06,15.4077
11200,hpi_forecast_4q_lo,2026-06,-4.5894
11200,hpi_forecast_8q,2026-06,10.3967
11200,hpi_forecast_8q_hi,2026-06,33.642
11200,hpi_forecast_8q_lo,2026-06,-7.342
11200,hpi_surprise_4q,2026-06,-3.4065
11200,hpi_trend_5y,2026-06,7.8071
11200,hpi_yoy_latest,2026-06,2.3919
11244,hpi_forecast_4q,2026-06,4.321
11244,hpi_forecast_4q_hi,2026-06,14.9431
11244,hpi_forecast_4q_lo,2026-06,-4.9812
11244,hpi_forecast_8q,2026-06,9.4707
11244,hpi_forecast_8q_hi,2026-06,32.2971
11244,hpi_forecast_8q_lo,2026-06,-8.1077
11244,hpi_surprise_4q,2026-06,-1.3492
11244,hpi_trend_5y,2026-06,7.7856
11244,hpi_yoy_latest,2026-06,3.3451
11260,hpi_forecast_4q,2026-06,5.6646
11260,hpi_forecast_4q_hi,2026-06,16.6079
11260,hpi_forecast_4q_lo,2026-06,-3.7127
11260,hpi_forecast_8q,2026-06,11.9836
11260,hpi_forecast_8q_hi,2026-06,35.7629
11260,hpi_forecast_8q_lo,2026-06,-6.0172
11260,hpi_surprise_4q,2026-06,-0.4683
11260,hpi_trend_5y,2026-06,6.6658
11260,hpi_yoy_latest,2026-06,4.5273
11460,hpi_forecast_4q,2026-06,4.9116
11460,hpi_forecast_4q_hi,2026-06,15.657
11460,hpi_forecast_4q_lo,2026-06,-4.4143
11460,hpi_forecast_8q,2026-06,10.6718
11460,hpi_forecast_8q_hi,2026-06,34.178
11460,hpi_forecast_8q_lo,2026-06,-7.1236
11460,hpi_surprise_4q,2026-06,-1.2757
11460,hpi_trend_5y,2026-06,7.0109
11460,hpi_yoy_latest,2026-06,3.3501
11500,hpi_forecast_4q,2026-06,6.5178
11500,hpi_forecast_4q_hi,2026-06,17.7876
11500,hpi_forecast_4q_lo,2026-06,-3.0016
11500,hpi_forecast_8q,2026-06,13.6616
11500,hpi_forecast_8q_hi,2026-06,38.7116
11500,hpi_forecast_8q_lo,2026-06,-4.9539
11500,hpi_surprise_4q,2026-06,9.286
11500,hpi_trend_5y,2026-06,8.6509
11500,hpi_yoy_latest,2026-06,12.0001
11540,hpi_forecast_4q,2026-06,5.6921
11540,hpi_forecast_4q_hi,2026-06,16.7021
11540,hpi_forecast_4q_lo,2026-06,-3.743
11540,hpi_forecast_8q,2026-06,11.9229
11540,hpi_forecast_8q_hi,2026-06,36.1534
11540,hpi_forecast_8q_lo,2026-06,-6.3739
11540,hpi_surprise_4q,2026-06,-0.7985
11540,hpi_trend_5y,2026-06,9.4121
11540,hpi_yoy_latest,2026-06,5.0746
11694,hpi_forecast_4q,2026-06,4.2951
11694,hpi_forecast_4q_hi,2026-06,14.9624
11694,hpi_forecast_4q_lo,2026-06,-5.0277
11694,hpi_forecast_8q,2026-06,9.5724
11694,hpi_forecast_8q_hi,2026-06,32.8992
11694,hpi_forecast_8q_lo,2026-06,-8.2456
11694,hpi_surprise_4q,2026-06,-2.3124
11694,hpi_trend_5y,2026-06,6.0115
11694,hpi_yoy_latest,2026-06,2.6268
11700,hpi_forecast_4q,2026-06,2.6896
11700,hpi_forecast_4q_hi,2026-06,13.0444
11700,hpi_forecast_4q_lo,2026-06,-6.614
11700,hpi_forecast_8q,2026-06,6.2359
11700,hpi_forecast_8q_hi,2026-06,28.6065
11700,hpi_forecast_8q_lo,2026-06,-11.2762
11700,hpi_surprise_4q,2026-06,-2.9175
11700,hpi_trend_5y,2026-06,7.7547
11700,hpi_yoy_latest,2026-06,1.3603
12020,hpi_forecast_4q,2026-06,3.5021
12020,hpi_forecast_4q_hi,2026-06,13.991
12020,hpi_forecast_4q_lo,2026-06,-5.8358
12020,hpi_forecast_8q,2026-06,7.6498
12020,hpi_forecast_8q_hi,2026-06,30.218
12020,hpi_forecast_8q_lo,2026-06,-9.9061
12020,hpi_surprise_4q,2026-06,-4.7506
12020,hpi_trend_5y,2026-06,9.1388
12020,hpi_yoy_latest,2026-06,1.012
12054,hpi_forecast_4q,2026-06,2.7315
12054,hpi_forecast_4q_hi,2026-06,12.98
12054,hpi_forecast_4q_lo,2026-06,-6.4899
12054,hpi_forecast_8q,2026-06,6.5704
12054,hpi_forecast_8q_hi,2026-06,28.5712
12054,hpi_forecast_8q_lo,2026-06,-10.7133
12054,hpi_surprise_4q,2026-06,-2.2087
12054,hpi_trend_5y,2026-06,7.3649
12054,hpi_yoy_latest,2026-06,1.0387
12100,hpi_forecast_4q,2026-06,6.9075
12100,hpi_forecast_4q_hi,2026-06,18.2741
12100,hpi_forecast_4q_lo,2026-06,-2.6349
12100,hpi_forecast_8q,2026-06,14.1213
12100,hpi_forecast_8q_hi,2026-06,39.3183
12100,hpi_forecast_8q_lo,2026-06,-4.6055
12100,hpi_surprise_4q,2026-06,-0.3968
12100,hpi_trend_5y,2026-06,11.0535
12100,hpi_yoy_latest,2026-06,6.1596
12220,hpi_forecast_4q,2026-06,4.2432
12220,hpi_forecast_4q_hi,2026-06,14.9465
12220,hpi_forecast_4q_lo,2026-06,-5.137
12220,hpi_forecast_8q,2026-06,9.1843
12220,hpi_forecast_8q_hi,2026-06,32.6426
12220,hpi_forecast_8q_lo,2026-06,-8.8063
12220,hpi_surprise_4q,2026-06,-5.5781
12220,hpi_trend_5y,2026-06,7.7888
12220,hpi_yoy_latest,2026-06,1.2545
12260,hpi_forecast_4q,2026-06,4.8146
12260,hpi_forecast_4q_hi,2026-06,15.6278
12260,hpi_forecast_4q_lo,2026-06,-4.5906
12260,hpi_forecast_8q,2026-06,10.4135
12260,hpi_forecast_8q_hi,2026-06,34.2949
12260,hpi_forecast_8q_lo,2026-06,-7.7589
12260,hpi_surprise_4q,2026-06,0.3903
12260,hpi_trend_5y,2026-06,8.3274
12260,hpi_yoy_latest,2026-06,5.01
12420,hpi_forecast_4q,2026-06,1.7761
12420,hpi_forecast_4q_hi,2026-06,11.8301
12420,hpi_forecast_4q_lo,2026-06,-7.433
12420,hpi_forecast_8q,2026-06,4.6045
12420,hpi_forecast_8q_hi,2026-06,26.0981
12420,hpi_forecast_8q_lo,2026-06,-12.5525
12420,hpi_surprise_4q,2026-06,-1.1028
12420,hpi_trend_5y,2026-06,2.8786
12420,hpi_yoy_latest,2026-06,0.3369
12540,hpi_forecast_4q,2026-06,4.1569
12540,hpi_forecast_4q_hi,2026-06,14.7742
12540,hpi_forecast_4q_lo,2026-06,-5.1732
12540,hpi_forecast_8q,2026-06,8.8947
12540,hpi_forecast_8q_hi,2026-06,31.6688
12540,hpi_forecast_8q_lo,2026-06,-8.7526
12540,hpi_surprise_4q,2026-06,-3.7873
12540,hpi_trend_5y,2026-06,6.309
12540,hpi_yoy_latest,2026-06,0.4684
12580,hpi_forecast_4q,2026-06,3.9733
12580,hpi_forecast_4q_hi,2026-06,14.5103
12580,hpi_forecast_4q_lo,2026-06,-5.331
12580,hpi_forecast_8q,2026-06,8.9545
12580,hpi_forecast_8q_hi,2026-06,31.7854
12580,hpi_forecast_8q_lo,2026-06,-8.6426
12580,hpi_surprise_4q,2026-06,-1.4798
12580,hpi_trend_5y,2026-06,5.6722
12580,hpi_yoy_latest,2026-06,2.7251
12620,hpi_forecast_4q,2026-06,3.3424
12620,hpi_forecast_4q_hi,2026-06,13.7809
12620,hpi_forecast_4q_lo,2026-06,-5.9862
12620,hpi_forecast_8q,2026-06,7.9168
12620,hpi_forecast_8q_hi,2026-06,30.6912
12620,hpi_forecast_8q_lo,2026-06,-9.7802
12620,hpi_surprise_4q,2026-06,-6.879
12620,hpi_trend_5y,2026-06,9.2483
12620,hpi_yoy_latest,2026-06,-0.5402
12700,hpi_forecast_4q,2026-06,5.2297
12700,hpi_forecast_4q_hi,2026-06,16.1393
12700,hpi_forecast_4q_lo,2026-06,-4.2281
12700,hpi_forecast_8q,2026-06,11.1917
12700,hpi_forecast_8q_hi,2026-06,35.2173
12700,hpi_forecast_8q_lo,2026-06,-7.0184
12700,hpi_surprise_4q,2026-06,-0.0493
12700,hpi_trend_5y,2026-06,8.9123
12700,hpi_yoy_latest,2026-06,4.326
12940,hpi_forecast_4q,2026-06,4.2523
12940,hpi_forecast_4q_hi,2026-06,14.9564
12940,hpi_forecast_4q_lo,2026-06,-5.1612
12940,hpi_forecast_8q,2026-06,9.2796
12940,hpi_forecast_8q_hi,2026-06,32.7005
12940,hpi_forecast_8q_lo,2026-06,-8.7186
12940,hpi_surprise_4q,2026-06,-0.9487
12940,hpi_trend_5y,2026-06,4.4648
12940,hpi_yoy_latest,2026-06,2.8196
12980,hpi_forecast_4q,2026-06,6.7976
12980,hpi_forecast_4q_hi,2026-06,18.0389
12980,hpi_forecast_4q_lo,2026-06,-2.6708
12980,hpi_forecast_8q,2026-06,14.2037
12980,hpi_forecast_8q_hi,2026-06,38.9639
12980,hpi_forecast_8q_lo,2026-06,-4.2597
12980,hpi_surprise_4q,2026-06,4.47
12980,hpi_trend_5y,2026-06,8.2528
12980,hpi_yoy_latest,2026-06,8.8812
13020,hpi_forecast_4q,2026-06,6.0114
13020,hpi_forecast_4q_hi,2026-06,17.0563
13020,hpi_forecast_4q_lo,2026-06,-3.4322
13020,hpi_forecast_8q,2026-06,12.8231
13020,hpi_forecast_8q_hi,2026-06,37.039
13020,hpi_forecast_8q_lo,2026-06,-5.4588
13020,hpi_surprise_4q,2026-06,0.6105
13020,hpi_trend_5y,2026-06,8.5898
13020,hpi_yoy_latest,2026-06,5.1374
13140,hpi_forecast_4q,2026-06,4.8467
13140,hpi_forecast_4q_hi,2026-06,15.5798
13140,hpi_forecast_4q_lo,2026-06,-4.5062
13140,hpi_forecast_8q,2026-06,10.34
13140,hpi_forecast_8q_hi,2026-06,33.4421
13140,hpi_forecast_8q_lo,2026-06,-7.4222
13140,hpi_surprise_4q,2026-06,-1.0579
13140,hpi_trend_5y,2026-06,5.9129
13140,hpi_yoy_latest,2026-06,3.3584
13220,hpi_forecast_4q,2026-06,5.6012
13220,hpi_forecast_4q_hi,2026-06,16.524
13220,hpi_forecast_4q_lo,2026-06,-3.808
13220,hpi_forecast_8q,2026-06,11.991
13220,hpi_forecast_8q_hi,2026-06,35.7781
13220,hpi_forecast_8q_lo,2026-06,-6.0806
13220,hpi_surprise_4q,2026-06,5.8596
13220,hpi_trend_5y,2026-06,8.8521
13220,hpi_yoy_latest,2026-06,9.9882
13380,hpi_forecast_4q,2026-06,3.8361
13380,hpi_forecast_4q_hi,2026-06,14.4004
13380,hpi_forecast_4q_lo,2026-06,-5.5089
13380,hpi_forecast_8q,2026-06,8.7745
13380,hpi_forecast_8q_hi,2026-06,31.9324
13380,hpi_forecast_8q_lo,2026-06,-9.0858
13380,hpi_surprise_4q,2026-06,-4.4817
13380,hpi_trend_5y,2026-06,6.0837
13380,hpi_yoy_latest,2026-06,0.4857
13460,hpi_forecast_4q,2026-06,2.7961
13460,hpi_forecast_4q_hi,2026-06,13.3244
13460,hpi_forecast_4q_lo,2026-06,-6.6144
13460,hpi_forecast_8q,2026-06,6.1945
13460,hpi_forecast_8q_hi,2026-06,29.2555
13460,hpi_forecast_8q_lo,2026-06,-11.7904
13460,hpi_surprise_4q,2026-06,-2.6347
13460,hpi_trend_5y,2026-06,5.2639
13460,hpi_yoy_latest,2026-06,0.6511
13740,hpi_forecast_4q,2026-06,4.7013
13740,hpi_forecast_4q_hi,2026-06,15.5375
13740,hpi_forecast_4q_lo,2026-06,-4.7248
13740,hpi_forecast_8q,2026-06,10.2477
13740,hpi_forecast_8q_hi,2026-06,34.3073
13740,hpi_forecast_8q_lo,2026-06,-7.9667
13740,hpi_surprise_4q,2026-06,1.0997
13740,hpi_trend_5y,2026-06,7.0947
13740,hpi_yoy_latest,2026-06,4.4085
13780,hpi_forecast_4q,2026-06,4.3957
13780,hpi_forecast_4q_hi,2026-06,15.0484
13780,hpi_forecast_4q_lo,2026-06,-4.9458
13780,hpi_forecast_8q,2026-06,9.7697
13780,hpi_forecast_8q_hi,2026-06,32.9292
13780,hpi_forecast_8q_lo,2026-06,-8.0268
13780,hpi_surprise_4q,2026-06,-4.9316
13780,hpi_trend_5y,2026-06,8.5792
13780,hpi_yoy_latest,2026-06,1.7879
13820,hpi_forecast_4q,2026-06,4.2307
13820,hpi_forecast_4q_hi,2026-06,14.8055
13820,hpi_forecast_4q_lo,2026-06,-5.0881
13820,hpi_forecast_8q,2026-06,9.4009
13820,hpi_forecast_8q_hi,2026-06,32.3164
13820,hpi_forecast_8q_lo,2026-06,-8.2963
13820,hpi_surprise_4q,2026-06,-0.6033
13820,hpi_trend_5y,2026-06,6.7867
13820,hpi_yoy_latest,2026-06,3.4135
13900,hpi_forecast_4q,2026-06,5.1415
13900,hpi_forecast_4q_hi,2026-06,15.9349
13900,hpi_forecast_4q_lo,2026-06,-4.1954
13900,hpi_forecast_8q,2026-06,11.2861
13900,hpi_forecast_8q_hi,2026-06,35.1337
13900,hpi_forecast_8q_lo,2026-06,-6.6954
13900,hpi_surprise_4q,2026-06,1.9755
13900,hpi_trend_5y,2026-06,5.9957
13900,hpi_yoy_latest,2026-06,6.1511
13980,hpi_forecast_4q,2026-06,5.4782
13980,hpi_forecast_4q_hi,2026-06,16.4122
13980,hpi_forecast_4q_lo,2026-06,-3.927
13980,hpi_forecast_8q,2026-06,11.728
13980,hpi_forecast_8q_hi,2026-06,35.7471
13980,hpi_forecast_8q_lo,2026-06,-6.4245
13980,hpi_surprise_4q,2026-06,1.5608
13980,hpi_trend_5y,2026-06,7.8044
13980,hpi_yoy_latest,2026-06,5.6536
14010,hpi_forecast_4q,2026-06,6.5873
14010,hpi_forecast_4q_hi,2026-06,17.7248
14010,hpi_forecast_4q_lo,2026-06,-2.8277
14010,hpi_forecast_8q,2026-06,13.7086
14010,hpi_forecast_8q_hi,2026-06,38.084
14010,hpi_forecast_8q_lo,2026-06,-4.527
14010,hpi_surprise_4q,2026-06,4.4096
14010,hpi_trend_5y,2026-06,8.7564
